NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_NUCLEOTIDE_RECEPTOR_ACTIVITY	GOMF_NUCLEOTIDE_RECEPTOR_ACTIVITY		18	0.379323	0.974018	0.49308756	0.84402215	1.0	338	tags=11%, list=2%, signal=11%	
GOBP_NEURON_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS	GOBP_NEURON_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS		20	0.37361145	0.97369957	0.49187934	0.8443268	1.0	2510	tags=30%, list=13%, signal=34%	
GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE		16	0.39301822	0.97331184	0.50438595	0.8449295	1.0	3299	tags=38%, list=17%, signal=45%	
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING		169	0.24942839	0.9728209	0.51929826	0.84581673	1.0	3143	tags=23%, list=16%, signal=27%	
GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION		22	0.3597077	0.9721009	0.47191012	0.8474468	1.0	882	tags=18%, list=5%, signal=19%	
GOMF_ACYL_COA_BINDING	GOMF_ACYL_COA_BINDING		19	0.3702905	0.9714677	0.49403343	0.84893364	1.0	4541	tags=42%, list=23%, signal=55%	
GOBP_DE_NOVO_PROTEIN_FOLDING	GOBP_DE_NOVO_PROTEIN_FOLDING		40	0.31467047	0.9713526	0.49004975	0.8485111	1.0	5162	tags=38%, list=27%, signal=51%	
GOBP_AUTOPHAGOSOME_ORGANIZATION	GOBP_AUTOPHAGOSOME_ORGANIZATION		115	0.26617563	0.9711839	0.5504886	0.84828323	1.0	4287	tags=30%, list=22%, signal=38%	
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS	GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS		298	0.23725982	0.9711631	0.53974897	0.8475523	1.0	4383	tags=29%, list=23%, signal=36%	
GOBP_REGULATION_OF_GLUCOSE_IMPORT	GOBP_REGULATION_OF_GLUCOSE_IMPORT		53	0.30291918	0.97093576	0.5131579	0.84755266	1.0	3181	tags=30%, list=16%, signal=36%	
GOMF_NAD_BINDING	GOMF_NAD_BINDING		56	0.29574978	0.9708407	0.5068493	0.84705716	1.0	3654	tags=39%, list=19%, signal=48%	
GOMF_RNA_POLYMERASE_CORE_ENZYME_BINDING	GOMF_RNA_POLYMERASE_CORE_ENZYME_BINDING		38	0.31913123	0.97055113	0.4950249	0.847286	1.0	3487	tags=29%, list=18%, signal=35%	
GOMF_PHOSPHOLIPASE_C_ACTIVITY	GOMF_PHOSPHOLIPASE_C_ACTIVITY		29	0.3413033	0.97034955	0.5034965	0.84719545	1.0	2550	tags=28%, list=13%, signal=32%	
GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION		44	0.30862048	0.9698873	0.47630924	0.84797853	1.0	2581	tags=20%, list=13%, signal=24%	
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY		29	0.33922392	0.9694926	0.51941746	0.8485378	1.0	4036	tags=34%, list=21%, signal=43%	
GOBP_RESPONSE_TO_CALCIUM_ION	GOBP_RESPONSE_TO_CALCIUM_ION		124	0.26025155	0.96944684	0.5245399	0.8479137	1.0	3130	tags=21%, list=16%, signal=25%	
