NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE		32	-0.40514174	-1.1012764	0.3205575	0.5547726	1.0	1584	tags=16%, list=8%, signal=17%	
GOBP_NEUTROPHIL_MEDIATED_IMMUNITY	GOBP_NEUTROPHIL_MEDIATED_IMMUNITY		36	-0.39142823	-1.1012403	0.29801324	0.554567	1.0	2553	tags=33%, list=13%, signal=38%	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY		15	-0.48196197	-1.1006088	0.33506945	0.55593944	1.0	3145	tags=40%, list=16%, signal=48%	
GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION	GOBP_REGULATION_OF_STEM_CELL_PROLIFERATION		81	-0.34164393	-1.1003927	0.28166914	0.5561924	1.0	2281	tags=22%, list=12%, signal=25%	
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	GOBP_NEGATIVE_REGULATION_OF_MUSCLE_HYPERTROPHY		28	-0.4163872	-1.1003021	0.30232558	0.5561285	1.0	651	tags=11%, list=3%, signal=11%	
GOBP_PLATELET_ACTIVATION	GOBP_PLATELET_ACTIVATION		136	-0.32308754	-1.1001757	0.25663716	0.5561441	1.0	2798	tags=24%, list=14%, signal=27%	
GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION		18	-0.45685375	-1.1001228	0.32958803	0.5559813	1.0	3514	tags=39%, list=18%, signal=47%	
GOBP_CARDIAC_NEURAL_CREST_CELL_DIFFERENTIATION_INVOLVED_IN_HEART_DEVELOPMENT	GOBP_CARDIAC_NEURAL_CREST_CELL_DIFFERENTIATION_INVOLVED_IN_HEART_DEVELOPMENT		16	-0.46758842	-1.099944	0.3252174	0.5561441	1.0	1575	tags=31%, list=8%, signal=34%	
GOBP_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY		26	-0.4156957	-1.0994631	0.33959043	0.5571052	1.0	1333	tags=15%, list=7%, signal=16%	
GOCC_COSTAMERE	GOCC_COSTAMERE		18	-0.45540723	-1.0992625	0.35135135	0.55735755	1.0	2819	tags=39%, list=15%, signal=45%	
