Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
DHDDS,Dehydrodolichyl Diphosphate Synthase Subunit,Protein Coding,Q86SQ9,54,GC01P026432,5.52,
ACTN1,Actinin Alpha 1,Protein Coding,P12814,62,GC14M068874,5.52,
BMAL1,Basic Helix-Loop-Helix ARNT Like 1,Protein Coding,O00327,54,GC11P021222,5.51,
ATP6V0A4,ATPase H+ Transporting V0 Subunit A4,Protein Coding,Q9HBG4,55,GC07M138801,5.51,
INPP5E,Inositol Polyphosphate-5-Phosphatase E,Protein Coding,Q9NRR6,52,GC09M136428,5.51,
FBXO32,F-Box Protein 32,Protein Coding,Q969P5,53,GC08M123640,5.51,
KCND2,Potassium Voltage-Gated Channel Subfamily D Member 2,Protein Coding,Q9NZV8,57,GC07P120273,5.51,
FURIN,"Furin, Paired Basic Amino Acid Cleaving Enzyme",Protein Coding,P09958,61,GC15P090868,5.51,
NES,Nestin,Protein Coding,P48681,52,GC01M156668,5.51,
SZT2,SZT2 Subunit Of KICSTOR Complex,Protein Coding,Q5T011,48,GC01P043389,5.51,
CD3D,CD3 Delta Subunit Of T-Cell Receptor Complex,Protein Coding,P04234,59,GC11M140617,5.5,
OBSL1,Obscurin Like Cytoskeletal Adaptor 1,Protein Coding,O75147,50,GC02M219647,5.5,
CIB2,Calcium And Integrin Binding Family Member 2,Protein Coding,O75838,51,GC15M078104,5.5,
BBS7,Bardet-Biedl Syndrome 7,Protein Coding,Q8IWZ6,50,GC04M121824,5.5,
WHRN,Whirlin,Protein Coding,Q9P202,47,GC09M122441,5.5,
TPH2,Tryptophan Hydroxylase 2,Protein Coding,Q8IWU9,62,GC12P071938,5.49,
CDH13,Cadherin 13,Protein Coding,P55290,57,GC16P082626,5.49,
SPAST,Spastin,Protein Coding,Q9UBP0,54,GC02P032063,5.49,
TCTN3,Tectonic Family Member 3,Protein Coding,Q6NUS6,52,GC10M095663,5.49,
KPNB1,Karyopherin Subunit Beta 1,Protein Coding,Q14974,57,GC17P047649,5.49,
LACC1,Laccase Domain Containing 1,Protein Coding,Q8IV20,47,GC13P043879,5.49,
RELN,Reelin,Protein Coding,P78509,57,GC07M103471,5.49,
ANTXR2,ANTXR Cell Adhesion Molecule 2,Protein Coding,P58335,57,GC04M079901,5.49,
LGALS1,Galectin 1,Protein Coding,P09382,56,GC22P037675,5.49,
SLC25A22,Solute Carrier Family 25 Member 22,Protein Coding,Q9H936,54,GC11M015065,5.49,
AQP2,Aquaporin 2,Protein Coding,P41181,61,GC12P049950,5.49,
APOA4,Apolipoprotein A4,Protein Coding,P06727,55,GC11M116820,5.48,
NMRAL1,NmrA Like Redox Sensor 1,Protein Coding,Q9HBL8,45,GC16M004461,5.48,
PAM16,Presequence Translocase Associated Motor 16,Protein Coding,Q9Y3D7,50,GC16M050008,5.48,
ADIPOR1,Adiponectin Receptor 1,Protein Coding,Q96A54,55,GC01M202940,5.48,
SOAT1,Sterol O-Acyltransferase 1,Protein Coding,P35610,56,GC01P179320,5.48,
EXD2,Exonuclease 3'-5' Domain Containing 2,Protein Coding,Q9NVH0,43,GC14P069191,5.48,
GNRH1,Gonadotropin Releasing Hormone 1,Protein Coding,P01148,54,GC08M025419,5.48,
DERL1,Derlin 1,Protein Coding,Q9BUN8,47,GC08M123013,5.47,
SMUG1,Single-Strand-Selective Monofunctional Uracil-DNA Glycosylase 1,Protein Coding,Q53HV7,52,GC12M054121,5.47,
SIRT4,Sirtuin 4,Protein Coding,Q9Y6E7,53,GC12P120291,5.47,
