Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,62,GC07P165997,81.97,
NOS2,Nitric Oxide Synthase 2,Protein Coding,P35228,62,GC17M027756,73.76,
ELAC2,ElaC Ribonuclease Z 2,Protein Coding,Q9BQ52,54,GC17M012991,65.75,
CARS2,"Cysteinyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q9HA77,53,GC13M110641,63.62,
CPT2,Carnitine Palmitoyltransferase 2,Protein Coding,P23786,62,GC01P053196,62.91,
CAT,Catalase,Protein Coding,P04040,64,GC11P034460,60.96,
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,66,GC21P031659,60.47,
FARS2,"Phenylalanyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,O95363,57,GC06P009483,60.18,
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene (lncRNA),,20,GC06M159772,60.09,
NOS1,Nitric Oxide Synthase 1,Protein Coding,P29475,62,GC12M117208,57.68,
GFM1,G Elongation Factor Mitochondrial 1,Protein Coding,Q96RP9,57,GC03P158644,57.35,
MTO1,Mitochondrial TRNA Translation Optimization 1,Protein Coding,Q9Y2Z2,55,GC06P073461,51.44,
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,64,GC02M177227,50.67,
AIFM1,Apoptosis Inducing Factor Mitochondria Associated 1,Protein Coding,O95831,63,GC0XM130129,50.25,
TP53,Tumor Protein P53,Protein Coding,P04637,66,GC17M007661,49.87,
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,65,GC22P035380,47.37,
TNF,Tumor Necrosis Factor,Protein Coding,P01375,65,GC06P181893,46.39,
SOD2,Superoxide Dismutase 2,Protein Coding,P04179,61,GC06M159669,44.35,
BDNF-AS,BDNF Antisense RNA,RNA Gene (lncRNA),,31,GC11P027466,44.2,
AARS2,"Alanyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5JTZ9,57,GC06M106778,43.43,
GSR,Glutathione-Disulfide Reductase,Protein Coding,P00390,62,GC08M030678,40.89,
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,64,GC06P182012,40.87,
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,62,GC10P048306,40.73,
TSFM,"Ts Translation Elongation Factor, Mitochondrial",Protein Coding,P43897,55,GC12P057782,40.04,
OXSR1,Oxidative Stress Responsive Kinase 1,Protein Coding,O95747,53,GC03P038506,39.51,
RMND1,Required For Meiotic Nuclear Division 1 Homolog,Protein Coding,Q9NWS8,50,GC06M151404,38.15,
XDH,Xanthine Dehydrogenase,Protein Coding,P47989,60,GC02M031334,38.03,
MTRFR,Mitochondrial Translation Release Factor In Rescue,Protein Coding,Q9H3J6,46,GC12P138940,37.9,
MPO,Myeloperoxidase,Protein Coding,P05164,65,GC17M058269,37.68,
TXN,Thioredoxin,Protein Coding,P10599,59,GC09M110243,37.28,
TUFM,"Tu Translation Elongation Factor, Mitochondrial",Protein Coding,P49411,57,GC16M050902,36.68,
IL6,Interleukin 6,Protein Coding,P05231,64,GC07P022725,35.95,
EARS2,"Glutamyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5JPH6,55,GC16M050689,35.35,
OSGIN1,Oxidative Stress Induced Growth Inhibitor 1,Protein Coding,Q9UJX0,41,GC16P122411,35.02,
NARS2,"Asparaginyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q96I59,56,GC11M078435,34.98,
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,65,GC22M021759,33.53,
TXN2,Thioredoxin 2,Protein Coding,Q99757,55,GC22M036467,33.18,
OSER1,Oxidative Stress Responsive Serine Rich 1,Protein Coding,Q9NX31,40,GC20M044195,33.12,
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,62,GC10P067884,32.87,
CYCS,"Cytochrome C, Somatic",Protein Coding,P99999,61,GC07M025118,32.76,
VARS2,"Valyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5ST30,55,GC06P181878,32.66,
PARK7,Parkinsonism Associated Deglycase,Protein Coding,Q99497,60,GC01P075179,32.29,
OLR1,Oxidized Low Density Lipoprotein Receptor 1,Protein Coding,P78380,56,GC12M035795,32.03,
CASP3,Caspase 3,Protein Coding,P42574,62,GC04M184627,31.9,
PNPT1,Polyribonucleotide Nucleotidyltransferase 1,Protein Coding,Q8TCS8,57,GC02M055634,31.25,
G6PD,Glucose-6-Phosphate Dehydrogenase,Protein Coding,P11413,62,GC0XM154625,31.17,
MSRA,Methionine Sulfoxide Reductase A,Protein Coding,Q9UJ68,55,GC08P010054,31.11,
APP,Amyloid Beta Precursor Protein,Protein Coding,P05067,63,GC21M025880,30.83,
ACADVL,Acyl-CoA Dehydrogenase Very Long Chain,Protein Coding,P49748,59,GC17P153721,30.38,
MTFMT,Mitochondrial Methionyl-TRNA Formyltransferase,Protein Coding,Q96DP5,53,GC15M065001,30.32,
CP,Ceruloplasmin,Protein Coding,P00450,62,GC03M149162,29.71,
IL1B,Interleukin 1 Beta,Protein Coding,P01584,60,GC02M112829,29.49,
NQO1,NAD(P)H Quinone Dehydrogenase 1,Protein Coding,P15559,61,GC16M069706,29.15,
OSGIN2,Oxidative Stress Induced Growth Inhibitor Family Member 2,Protein Coding,Q9Y236,39,GC08P089901,29.13,
PON1,Paraoxonase 1,Protein Coding,P27169,60,GC07M095297,29.07,
INS,Insulin,Protein Coding,P01308,61,GC11M002159,28.95,
NDUFS4,NADH:Ubiquinone Oxidoreductase Subunit S4,Protein Coding,O43181,55,GC05P053560,28.94,
HADHB,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta,Protein Coding,P55084,59,GC02P026243,28.89,
RYR2,Ryanodine Receptor 2,Protein Coding,Q92736,60,GC01P237042,28.78,
G3BP1,G3BP Stress Granule Assembly Factor 1,Protein Coding,Q13283,54,GC05P151771,28.5,
HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,P11021,61,GC09M125234,28.4,
HADHA,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha,Protein Coding,P40939,59,GC02M026190,28.19,
ACOX1,Acyl-CoA Oxidase 1,Protein Coding,Q15067,58,GC17M075941,28.18,
ACADM,Acyl-CoA Dehydrogenase Medium Chain,Protein Coding,P11310,59,GC01P075724,28.17,
GPX1,Glutathione Peroxidase 1,Protein Coding,P07203,57,GC03M054761,28.16,
CYBA,Cytochrome B-245 Alpha Chain,Protein Coding,P13498,60,GC16M088643,28.07,
MAP3K5,Mitogen-Activated Protein Kinase Kinase Kinase 5,Protein Coding,Q99683,61,GC06M136557,28.07,
FASTKD2,FAST Kinase Domains 2,Protein Coding,Q9NYY8,51,GC02P206770,27.96,
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,62,GC01M058780,27.88,
EIF2AK3,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3,Protein Coding,Q9NZJ5,63,GC02M088556,27.81,
POLR1C,RNA Polymerase I And III Subunit C,Protein Coding,O15160,55,GC06P182073,27.64,
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,57,GC04P073740,27.31,
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,62,GC01M186671,27.25,
ALB,Albumin,Protein Coding,P02768,61,GC04P073397,27.15,
ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,66,GC11P108222,27.07,
GFM2,GTP Dependent Ribosome Recycling Factor Mitochondrial 2,Protein Coding,Q969S9,53,GC05M074721,27.01,
TLR4,Toll Like Receptor 4,Protein Coding,O00206,64,GC09P117704,26.93,
HSD17B4,Hydroxysteroid 17-Beta Dehydrogenase 4,Protein Coding,P51659,60,GC05P119452,26.93,
CD36,CD36 Molecule (CD36 Blood Group),Protein Coding,P16671,63,GC07P080369,26.92,
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,64,GC01M226360,26.61,
OGG1,8-Oxoguanine DNA Glycosylase,Protein Coding,O15527,60,GC03P026979,26.58,
KEAP1,Kelch Like ECH Associated Protein 1,Protein Coding,Q14145,61,GC19M010486,26.58,
FOXO3,Forkhead Box O3,Protein Coding,O43524,60,GC06P108559,26.51,
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,66,GC14M104769,26.37,
COX5A,Cytochrome C Oxidase Subunit 5A,Protein Coding,P20674,57,GC15M074919,26.32,
POLG,"DNA Polymerase Gamma, Catalytic Subunit",Protein Coding,P54098,61,GC15M163223,26.26,
GSTM1,Glutathione S-Transferase Mu 1,Protein Coding,P09488,55,GC01P109687,26.24,
ETFDH,Electron Transfer Flavoprotein Dehydrogenase,Protein Coding,Q16134,59,GC04P158672,26.22,
DDIT3,DNA Damage Inducible Transcript 3,Protein Coding,P35638,59,GC12M057516,26.2,
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene (lncRNA),,21,GC08P056444,26.18,
ACE,Angiotensin I Converting Enzyme,Protein Coding,P12821,64,GC17P063477,26.15,
CALM1,Calmodulin 1,Protein Coding,P0DP23,58,GC14P090396,26.11,
ATF4,Activating Transcription Factor 4,Protein Coding,P18848,60,GC22P039519,26.09,
CYBB,Cytochrome B-245 Beta Chain,Protein Coding,P04839,61,GC0XP037780,25.94,
NOS1AP,Nitric Oxide Synthase 1 Adaptor Protein,Protein Coding,O75052,51,GC01P162069,25.94,
PRDX2,Peroxiredoxin 2,Protein Coding,P32119,59,GC19M012796,25.89,
TARS2,"Threonyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q9BW92,55,GC01P176487,25.84,
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,P09211,62,GC11P067583,25.8,
PON2,Paraoxonase 2,Protein Coding,Q15165,57,GC07M095404,25.74,
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,64,GC18M063123,25.55,
ABCD1,ATP Binding Cassette Subfamily D Member 1,Protein Coding,P33897,59,GC0XP153724,25.52,
XBP1,X-Box Binding Protein 1,Protein Coding,P17861,59,GC22M028794,25.36,
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,64,GC09M021967,25.25,
ETFA,Electron Transfer Flavoprotein Subunit Alpha,Protein Coding,P13804,58,GC15M162854,25.24,
SLC17A5,Solute Carrier Family 17 Member 5,Protein Coding,Q9NRA2,58,GC06M073593,25.23,
CRP,C-Reactive Protein,Protein Coding,P02741,58,GC01M167583,25.09,
HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,P34932,55,GC05P133132,25.08,
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,66,GC04P102501,24.84,
ALDH3A2,Aldehyde Dehydrogenase 3 Family Member A2,Protein Coding,P51648,59,GC17P019648,24.82,
MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,P53779,60,GC04M085990,24.79,
CPT1A,Carnitine Palmitoyltransferase 1A,Protein Coding,P50416,61,GC11M068754,24.73,
IFNG,Interferon Gamma,Protein Coding,P01579,63,GC12M068154,24.56,
FOXO1,Forkhead Box O1,Protein Coding,Q12778,64,GC13M040555,24.55,
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,P07900,64,GC14M102080,24.51,
HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,P04792,65,GC07P076302,24.49,
HSF1,Heat Shock Transcription Factor 1,Protein Coding,Q00613,60,GC08P144291,24.46,
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,P23560,62,GC11M027654,24.24,
PRDX5,Peroxiredoxin 5,Protein Coding,P30044,57,GC11P107691,24.17,
GAPDH,Glyceraldehyde-3-Phosphate Dehydrogenase,Protein Coding,P04406,64,GC12P074057,24.1,
ACADL,Acyl-CoA Dehydrogenase Long Chain,Protein Coding,P28330,53,GC02M210187,24.04,
EIF2S1,Eukaryotic Translation Initiation Factor 2 Subunit Alpha,Protein Coding,P05198,58,GC14P067359,23.99,
GTPBP3,"GTP Binding Protein 3, Mitochondrial",Protein Coding,Q969Y2,52,GC19P152085,23.96,
GCDH,Glutaryl-CoA Dehydrogenase,Protein Coding,Q92947,58,GC19P012891,23.91,
MIPEP,Mitochondrial Intermediate Peptidase,Protein Coding,Q99797,54,GC13M023730,23.85,
CRH,Corticotropin Releasing Hormone,Protein Coding,P06850,56,GC08M066176,23.82,
PLA2G6,Phospholipase A2 Group VI,Protein Coding,O60733,61,GC22M087757,23.75,
HSPD1,Heat Shock Protein Family D (Hsp60) Member 1,Protein Coding,P10809,61,GC02M197486,23.72,
PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,O60260,62,GC06M161348,23.7,
SLC6A4,Solute Carrier Family 6 Member 4,Protein Coding,P31645,61,GC17M030194,23.68,
SLC25A20,Solute Carrier Family 25 Member 20,Protein Coding,O43772,58,GC03M048978,23.66,
EDN1,Endothelin 1,Protein Coding,P05305,61,GC06P012910,23.59,
ACAD9,Acyl-CoA Dehydrogenase Family Member 9,Protein Coding,Q9H845,57,GC03P143107,23.49,
LOC129930561,ATAC-STARR-Seq Lymphoblastoid Silent Region 902,Functional Element,,9,GC01P082699,23.46,
MAOA,Monoamine Oxidase A,Protein Coding,P21397,62,GC0XP043654,23.46,
APOE,Apolipoprotein E,Protein Coding,P02649,62,GC19P152697,23.37,
SNCA,Synuclein Alpha,Protein Coding,P37840,65,GC04M089724,23.21,
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,65,GC19M041301,23.2,
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,64,GC19P048954,23.11,
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,61,GC14P061695,23.04,
NDUFV1,NADH:Ubiquinone Oxidoreductase Core Subunit V1,Protein Coding,P49821,58,GC11P107995,22.94,
CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,P13500,62,GC17P034255,22.93,
CYP27A1,Cytochrome P450 Family 27 Subfamily A Member 1,Protein Coding,Q02318,60,GC02P218781,22.78,
NDUFS7,NADH:Ubiquinone Oxidoreductase Core Subunit S7,Protein Coding,O75251,58,GC19P151406,22.67,
ETFB,Electron Transfer Flavoprotein Subunit Beta,Protein Coding,P38117,58,GC19M051345,22.66,
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,60,GC06P181910,22.45,
G3BP2,G3BP Stress Granule Assembly Factor 2,Protein Coding,Q9UN86,48,GC04M075642,22.24,
ADPRS,ADP-Ribosylserine Hydrolase,Protein Coding,Q9NX46,50,GC01P076866,22.18,
LMNA,Lamin A/C,Protein Coding,P02545,63,GC01P156082,22.15,
ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,P00519,65,GC09P130713,22.13,
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,61,GC06P043770,22.07,
APEX1,Apurinic/Apyrimidinic Endodeoxyribonuclease 1,Protein Coding,P27695,58,GC14P020455,22.05,
HSD17B10,Hydroxysteroid 17-Beta Dehydrogenase 10,Protein Coding,Q99714,60,GC0XM053431,21.98,
SDHA,Succinate Dehydrogenase Complex Flavoprotein Subunit A,Protein Coding,P31040,61,GC05P000248,21.97,
GSTT1,Glutathione S-Transferase Theta 1,Protein Coding,P30711,44,GC22Mi00270,21.95,
RYR1,Ryanodine Receptor 1,Protein Coding,P21817,62,GC19P152460,21.93,
CBS,Cystathionine Beta-Synthase,Protein Coding,P35520,64,GC21M043053,21.88,
ACADS,Acyl-CoA Dehydrogenase Short Chain,Protein Coding,P16219,58,GC12P138900,21.85,
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,P04150,62,GC05M143277,21.77,
NFS1,NFS1 Cysteine Desulfurase,Protein Coding,Q9Y697,58,GC20M035668,21.71,
SOD3,Superoxide Dismutase 3,Protein Coding,P08294,55,GC04P030197,21.7,
POLRMT,RNA Polymerase Mitochondrial,Protein Coding,O00411,54,GC19M000617,21.68,
FMO3,Flavin Containing Dimethylaniline Monoxygenase 3,Protein Coding,P31513,58,GC01P171090,21.61,
APOA1,Apolipoprotein A1,Protein Coding,P02647,63,GC11M116835,21.58,
KNG1,Kininogen 1,Protein Coding,P01042,61,GC03P186717,21.44,
CYP1A1,Cytochrome P450 Family 1 Subfamily A Member 1,Protein Coding,P04798,60,GC15M074719,21.37,
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,P08684,61,GC07M106698,21.18,
HBB,Hemoglobin Subunit Beta,Protein Coding,P68871,58,GC11M015235,21.16,
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,Q9UBK2,60,GC04M023755,21.13,
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,68,GC01M011106,21.12,
CAV1,Caveolin 1,Protein Coding,Q03135,61,GC07P116524,21.1,
THBS1,Thrombospondin 1,Protein Coding,P07996,59,GC15P039581,21.07,
PGR-AS1,PGR Antisense RNA 1,RNA Gene (lncRNA),,20,GC11P108894,21.04,
MRPS22,Mitochondrial Ribosomal Protein S22,Protein Coding,P82650,54,GC03P139005,21.04,
MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,P45984,61,GC05M183397,21.02,
PC,Pyruvate Carboxylase,Protein Coding,P11498,60,GC11M066848,20.98,
CASQ2,Calsequestrin 2,Protein Coding,O14958,58,GC01M115700,20.97,
ERCC6,"ERCC Excision Repair 6, Chromatin Remodeling Factor",Protein Coding,Q03468,60,GC10M049472,20.91,
HMGCL,3-Hydroxy-3-Methylglutaryl-CoA Lyase,Protein Coding,P35914,58,GC01M023801,20.91,
PTCD3,Pentatricopeptide Repeat Domain 3,Protein Coding,Q96EY7,51,GC02P086106,20.82,
MAPT,Microtubule Associated Protein Tau,Protein Coding,P10636,62,GC17P045894,20.74,
STIP1,Stress Induced Phosphoprotein 1,Protein Coding,P31948,57,GC11P107683,20.66,
ATP5F1A,ATP Synthase F1 Subunit Alpha,Protein Coding,P25705,59,GC18M046081,20.62,
CYP2E1,Cytochrome P450 Family 2 Subfamily E Member 1,Protein Coding,P05181,58,GC10P133520,20.59,
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,P37231,65,GC03P012287,20.56,
SQSTM1,Sequestosome 1,Protein Coding,Q13501,62,GC05P179806,20.54,
ATF6,Activating Transcription Factor 6,Protein Coding,P18850,61,GC01P161766,20.53,
VWF,Von Willebrand Factor,Protein Coding,P04275,61,GC12M035631,20.49,
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,64,GC14P075278,20.46,
PRDX6,Peroxiredoxin 6,Protein Coding,P30041,59,GC01P173477,20.45,
UCP2,Uncoupling Protein 2,Protein Coding,P55851,58,GC11M073974,20.44,
CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,Q16678,61,GC02M038066,20.44,
NDUFS1,NADH:Ubiquinone Oxidoreductase Core Subunit S1,Protein Coding,P28331,57,GC02M206114,20.41,
EIF2B5,Eukaryotic Translation Initiation Factor 2B Subunit Epsilon,Protein Coding,Q13144,55,GC03P184135,20.27,
SGCB,Sarcoglycan Beta,Protein Coding,Q16585,51,GC04M052019,20.23,
MB,Myoglobin,Protein Coding,P02144,58,GC22M035606,20.15,
SELENON,Selenoprotein N,Protein Coding,Q9NZV5,51,GC01P025800,20.13,
TF,Transferrin,Protein Coding,P02787,64,GC03P143239,20.13,
GLA,Galactosidase Alpha,Protein Coding,P06280,62,GC0XM101393,20.12,
TYR,Tyrosinase,Protein Coding,P14679,61,GC11P089177,20.03,
MPV17,Mitochondrial Inner Membrane Protein MPV17,Protein Coding,P39210,53,GC02M027309,20.03,
ERN1,Endoplasmic Reticulum To Nucleus Signaling 1,Protein Coding,O75460,60,GC17M064039,19.99,
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,62,GC16M051076,19.98,
NUDT1,Nudix Hydrolase 1,Protein Coding,P36639,54,GC07P002242,19.89,
HBG2,Hemoglobin Subunit Gamma 2,Protein Coding,P69892,55,GC11M015239,19.88,
PEX5,Peroxisomal Biogenesis Factor 5,Protein Coding,P50542,57,GC12P074093,19.83,
MRPL44,Mitochondrial Ribosomal Protein L44,Protein Coding,Q9H9J2,52,GC02P223957,19.76,
POR,Cytochrome P450 Oxidoreductase,Protein Coding,P16435,61,GC07P075899,19.75,
GATB,Glutamyl-TRNA Amidotransferase Subunit B,Protein Coding,O75879,53,GC04M151670,19.74,
PRDX1,Peroxiredoxin 1,Protein Coding,Q06830,62,GC01M045906,19.72,
SFXN4,Sideroflexin 4,Protein Coding,Q6P4A7,51,GC10M119140,19.68,
BCS1L,"BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone",Protein Coding,Q9Y276,57,GC02P218658,19.61,
CAV3,Caveolin 3,Protein Coding,P56539,57,GC03P008733,19.6,
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",Protein Coding,P18074,61,GC19M045349,19.53,
PRDX3,Peroxiredoxin 3,Protein Coding,P30048,57,GC10M119167,19.53,
PINK1,PTEN Induced Kinase 1,Protein Coding,Q9BXM7,60,GC01P076060,19.53,
TRDN,Triadin,Protein Coding,Q13061,54,GC06M123198,19.51,
TRIT1,TRNA Isopentenyltransferase 1,Protein Coding,Q9H3H1,54,GC01M039842,19.51,
CALM3,Calmodulin 3,Protein Coding,P0DP25,55,GC19P046601,19.49,
TH,Tyrosine Hydroxylase,Protein Coding,P07101,63,GC11M002163,19.43,
ATP7B,ATPase Copper Transporting Beta,Protein Coding,P35670,61,GC13M051930,19.32,
IL10,Interleukin 10,Protein Coding,P22301,60,GC01M206767,19.3,
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,P05362,63,GC19P151796,19.2,
SCP2,Sterol Carrier Protein 2,Protein Coding,P22307,59,GC01P052927,19.18,
NDUFS2,NADH:Ubiquinone Oxidoreductase Core Subunit S2,Protein Coding,O75306,57,GC01P161197,19.12,
NDUFAF2,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 2,Protein Coding,Q8N183,54,GC05P060945,19.08,
SHC1,SHC Adaptor Protein 1,Protein Coding,P29353,57,GC01M154962,19.06,
NPY,Neuropeptide Y,Protein Coding,P01303,58,GC07P024850,19.03,
NOX4,NADPH Oxidase 4,Protein Coding,Q9NPH5,55,GC11M089324,19.03,
PKM,Pyruvate Kinase M1/2,Protein Coding,P14618,62,GC15M072199,19.02,
VCP,Valosin Containing Protein,Protein Coding,P55072,62,GC09M035732,18.98,
MMP1,Matrix Metallopeptidase 1,Protein Coding,P03956,62,GC11M140392,18.93,
MAOB,Monoamine Oxidase B,Protein Coding,P27338,57,GC0XM043766,18.93,
GPX3,Glutathione Peroxidase 3,Protein Coding,P22352,54,GC05P159401,18.91,
MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,67,GC12P068808,18.9,
MIR7-3HG,MIR7-3 Host Gene,RNA Gene (lncRNA),Q8N6C7,34,GC19P151538,18.87,
ANK2,Ankyrin 2,Protein Coding,Q01484,54,GC04P112815,18.79,
FOXRED1,FAD Dependent Oxidoreductase Domain Containing 1,Protein Coding,Q96CU9,53,GC11P126269,18.77,
CRHR1,Corticotropin Releasing Hormone Receptor 1,Protein Coding,P34998,57,GC17P045784,18.74,
PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,Protein Coding,P54646,61,GC01P056645,18.71,
TYMP,Thymidine Phosphorylase,Protein Coding,P19971,60,GC22M050525,18.65,
SLC25A26,Solute Carrier Family 25 Member 26,Protein Coding,Q70HW3,48,GC03P066133,18.63,
AARS1,Alanyl-TRNA Synthetase 1,Protein Coding,P49588,56,GC16M075123,18.62,
ERCC8,"ERCC Excision Repair 8, CSA Ubiquitin Ligase Complex Subunit",Protein Coding,Q13216,56,GC05M060921,18.62,
HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,P11142,62,GC11M123057,18.62,
NPPA,Natriuretic Peptide A,Protein Coding,P01160,57,GC01M022465,18.59,
PRKAA1,Protein Kinase AMP-Activated Catalytic Subunit Alpha 1,Protein Coding,Q13131,59,GC05M040759,18.59,
FDX2,Ferredoxin 2,Protein Coding,Q6P4F2,46,GC19M108111,18.59,
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,P19320,58,GC01P100719,18.53,
NOTCH3,Notch Receptor 3,Protein Coding,Q9UM47,64,GC19M015159,18.5,
ESR1,Estrogen Receptor 1,Protein Coding,P03372,67,GC06P151656,18.49,
BLVRB,Biliverdin Reductase B,Protein Coding,P30043,53,GC19M040447,18.45,
OXA1L,OXA1L Mitochondrial Inner Membrane Insertase,Protein Coding,Q15070,51,GC14P022766,18.41,
FXN,Frataxin,Protein Coding,Q16595,60,GC09P069035,18.4,
NDUFS8,NADH:Ubiquinone Oxidoreductase Core Subunit S8,Protein Coding,O00217,57,GC11P068030,18.36,
AKR1C1,Aldo-Keto Reductase Family 1 Member C1,Protein Coding,Q04828,56,GC10P004963,18.31,
GCH1,GTP Cyclohydrolase 1,Protein Coding,P30793,60,GC14M054842,18.31,
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,P38936,63,GC06P182020,18.3,
POMC,Proopiomelanocortin,Protein Coding,P01189,61,GC02M025160,18.23,
PHGDH,Phosphoglycerate Dehydrogenase,Protein Coding,O43175,62,GC01P119724,18.21,
CYP2D6,Cytochrome P450 Family 2 Subfamily D Member 6 (Gene/Pseudogene),Protein Coding,P10635,60,GC22M042126,18.19,
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,P16220,62,GC02P207529,18.17,
ATP7A,ATPase Copper Transporting Alpha,Protein Coding,Q04656,59,GC0XP078257,18.1,
CRYAB,Crystallin Alpha B,Protein Coding,P02511,59,GC11M111908,18.09,
MARS2,"Methionyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q96GW9,54,GC02P197705,18.05,
TARDBP,TAR DNA Binding Protein,Protein Coding,Q13148,60,GC01P075344,18.02,
TXNRD1,Thioredoxin Reductase 1,Protein Coding,Q16881,57,GC12P104215,18.02,
CACNA1C,Calcium Voltage-Gated Channel Subunit Alpha1 C,Protein Coding,Q13936,62,GC12P001970,18,
HADH,Hydroxyacyl-CoA Dehydrogenase,Protein Coding,Q16836,60,GC04P107989,17.99,
CASP9,Caspase 9,Protein Coding,P55211,61,GC01M022575,17.99,
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,Q07869,57,GC22P046150,17.99,
MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,Q02750,67,GC15P066386,17.98,
SERP1,Stress Associated Endoplasmic Reticulum Protein 1,Protein Coding,Q9Y6X1,40,GC03M150541,17.98,
PSEN1,Presenilin 1,Protein Coding,P49768,66,GC14P073136,17.98,
C1QBP,Complement C1q Binding Protein,Protein Coding,Q07021,58,GC17M005432,17.96,
EIF2AK2,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2,Protein Coding,P19525,62,GC02M037099,17.94,
CLU,Clusterin,Protein Coding,P10909,60,GC08M027596,17.93,
P4HB,Prolyl 4-Hydroxylase Subunit Beta,Protein Coding,P07237,62,GC17M081843,17.92,
TREM2,Triggering Receptor Expressed On Myeloid Cells 2,Protein Coding,Q9NZC2,57,GC06M106680,17.9,
TRA-TGC7-1,TRNA-Ala (Anticodon TGC) 7-1,RNA Gene (tRNA),,14,GC06M106311,17.88,
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,P21912,61,GC01M022674,17.83,
