"x"
"SMN1"
"PIK3CA"
"MRPL3"
"EIF4E"
"CLN6"
"ATF4"
"CYGB"
"RNASEH2C"
"HSPD1"
"FH"
"NADK2"
"HMGB1"
"CDKN2B-AS1"
"CPT1A"
"MCCC2"
"MRPL44"
