symbol,GSM1480043,GSM1480044,GSM1480045,GSM1480046,GSM1480047,GSM1480048,GSM1480049,GSM1480050,GSM1480051,GSM1480052,GSM1480053,GSM1480054,GSM1480055,GSM1480056,GSM1480057,GSM1480058,GSM1480059,GSM1480060,GSM1480061,GSM1480062,GSM1480063,GSM1480064,GSM1480065,GSM1480066,GSM1480067,GSM1480068,GSM1480069,GSM1480070,GSM1480071,GSM1480072,GSM1480073,GSM1480074,GSM1480075,GSM1480076,GSM1480077,GSM1480078,GSM1480079,GSM1480080,GSM1480081,GSM1480082,GSM1480083,GSM1480084,GSM1480085,GSM1480086,GSM1480087,GSM1480088,GSM1480089,GSM1480090
GSPT2,8.061291,8.779233,8.50394,8.623122,8.607892,8.031516,8.434992,8.523989,8.780836,8.24072,8.710059,7.620172,8.362426,8.22613,8.182041,8.345293,8.768862,8.261099,8.495954,8.804658,8.276724,8.513632,8.684967,8.791091,8.265535,8.377652,8.58651,8.48644,9.009772,8.519545,8.101941,7.449421,8.09204,8.574466,8.689473,7.928492,8.493462,8.882788,8.681464,8.657068,8.741543,8.513496,8.646599,8.540692,8.735689,7.913199,8.375228,8.400851
TMC5,5.709075,4.722475,5.326375,5.021332,5.173873,4.987567,4.935017,4.917309,4.554432,4.747379,4.663398,4.586285,4.585561,4.588333,5.039334,5.056128,4.617658,4.91144,4.754923,4.722733,4.602827,4.662506,4.559448,5.141921,4.770237,4.819791,5.710565,4.997117,4.647118,5.131311,5.084332,5.57938,4.653389,4.950057,5.256567,4.930803,4.702717,5.010808,5.388596,5.183401,4.75834,5.082869,5.154238,5.187048,4.84848,4.715836,5.418552,4.715055
TIFAB,4.500701,4.490287,4.5511995,4.5519405,4.4927925,4.5045315,4.6184205,4.675403,4.5721695,4.4773795,4.604609,4.5779075,4.5170915,4.5347325,4.556638,4.533436,4.515082,4.49376,4.460809,4.529638,4.531447,4.608852,4.531556,4.745963,4.4337055,4.485015,4.5607435,4.532006,4.5115945,4.4722285,4.49783,4.496419,4.5763715,4.578327,4.5156125,4.686496,4.459768,4.5043295,4.495635,4.5340805,4.521516,4.482369,4.535675,4.6140785,4.4762365,4.5339925,4.5231975,4.6266865
ZNF19,4.55698,4.543089,4.603369,4.641379,4.440573,4.526625,4.516374,4.528012,4.518035,4.493661,4.583422,4.517176,4.479221,4.461239,4.446841,4.514222,4.566422,4.46825,4.462909,4.476946,4.572638,4.4918,4.565527,4.640232,4.532817,4.485602,4.676104,4.629376,4.546756,4.605877,4.591216,4.514892,4.545606,4.530068,4.505556,4.543065,4.550239,4.618051,4.623993,4.571574,4.530906,4.505204,4.543425,4.543112,4.513101,4.518806,4.495067,4.526141
MAGEF1,6.66008,6.43504,6.347542,5.974748,5.933595,6.507343,6.033739,6.2984,6.468449,5.969673,6.097192,5.497784,6.415138,6.109346,5.929607,5.961835,6.232155,6.694716,6.386611,6.221621,6.117161,6.255278,6.429976,6.429157,6.167223,6.475914,6.236526,6.162469,6.553048,6.341995,6.223312,6.778593,5.921846,6.165571,6.55356,6.399219,6.147114,6.645834,6.168248,6.204279,6.439167,6.089179,6.330052,6.327958,6.356079,6.498944,5.967994,6.390217
OR5A1,4.521159,4.410292,4.430474,4.515026,4.485769,4.483988,4.570455,4.560239,4.486517,4.491423,4.503418,4.525249,4.536334,4.535249,4.610522,4.502458,4.602827,4.535296,4.556638,4.586553,4.515694,4.550826,4.531556,4.447641,4.553307,4.508453,4.548621,4.485103,4.538591,4.509224,4.499777,4.531418,4.44586,4.447343,4.488308,4.461277,4.485726,4.402415,4.405566,4.533661,4.43923,4.475486,4.50867,4.531974,4.569299,4.460541,4.474034,4.615734
RNF39,6.164775,8.411064,6.0129,6.109171,5.310987,7.413678,5.284419,6.033372,7.844599,7.912669,5.42482,5.733421,6.482029,6.727519,5.829598,6.610251,7.090252,5.643226,6.628775,8.306231,6.024235,6.80375,7.274278,5.53056,5.551348,4.81128,6.310607,6.324212,7.15282,6.152405,5.52707,6.910314,5.375691,5.967802,6.293121,5.300706,5.04893,8.458029,5.815585,7.18873,6.162616,6.824185,5.878066,5.556965,5.144521,5.11669,5.054527,5.200717
CGNL1,11.979112,8.213118,9.924676,9.914752,9.89066,10.35879,9.419788,9.795843,8.948591,7.659414,9.584054,9.358307,9.653447,10.005864,9.962996,9.749605,8.897195,9.086384,10.545761,8.992678,9.619291,10.205037,8.04561,9.865523,9.699709,10.145783,9.834289,10.538504,8.918586,9.928285,11.138604,10.654915,9.824488,9.807851,9.978784,9.88191,9.801253,9.083102,10.23707,9.673351,9.25365,9.823224,10.010308,9.633511,9.411934,10.421823,10.164454,10.478236
GNG13,4.525363,4.576155,4.529554,4.485602,4.43552,4.49827,4.398229,4.424926,4.529463,4.516463,4.527894,4.525249,4.493152,4.595028,4.39924,4.39902,4.441923,4.478243,4.414298,4.566277,4.418042,4.489653,4.455168,4.475384,4.446784,4.470471,4.459459,4.426312,4.44801,4.443204,4.412041,4.440573,4.437858,4.469239,4.402126,4.515026,4.516101,4.434483,4.445342,4.436593,4.467381,4.423134,4.409506,4.448608,4.49827,4.419312,4.424944,4.406666
EEF1AKMT1,7.737013,8.422322,8.224593,8.461802,8.176525,7.863462,7.713828,7.954631,8.362198,7.761881,8.339774,7.202835,8.04561,8.043834,7.593295,8.538471,8.38009,7.940807,8.002239,8.561454,8.090651,8.145686,8.081509,8.090651,7.819093,8.014333,8.579275,8.228777,8.826024,7.824413,7.946064,7.917159,7.938359,8.236132,8.547845,7.587025,8.085034,8.303266,8.645154,8.585767,8.142244,8.26913,7.919203,8.025939,8.297048,7.843134,7.836265,8.194499
DSC1,4.510118,4.560374,4.460203,4.461797,4.4515585,4.4894375,4.511197,4.526716,4.469561,4.6167325,4.594737,4.505713,4.525366,4.5059655,4.52216,4.4806205,4.4817865,4.44195,4.433941,4.4608755,4.567973,4.529111,4.616016,4.416242,4.5050005,4.432353,4.423193,4.488469,4.5000445,4.4797455,4.480929,4.5256005,4.421949,4.443852,4.4736875,4.6103105,4.4221275,4.484851,4.5503095,4.4799045,4.5123025,4.488132,4.5143275,4.5295085,4.482084,4.461608,4.4957135,4.5084405
ATP1B1,8.677179,7.145494,8.813085,8.270625,8.230799,7.812189,8.274396,8.942489,7.039943,7.658209,8.653986,7.714286,7.693187,7.864261,8.213118,6.985364,6.914543,8.133419,8.005266,6.891071,7.425327,8.480873,7.217429,9.002287,8.207003,8.832843,8.239428,8.120636,5.670787,8.477116,7.683036,8.245695,8.375943,8.113382,8.526905,8.611684,8.480532,7.470834,7.838604,8.233818,6.725816,8.134371,8.402726,8.841386,8.416708,8.609555,8.467757,8.298758
INO80C,8.979668,8.159397,8.081249,7.971697,8.07241,8.464808,8.356661,8.180607,7.90447,8.536124,8.393344,8.598063,7.971697,7.837797,8.200585,8.074714,8.547845,8.219328,7.875031,7.950773,8.250711,7.964086,8.293896,7.987742,7.75629,7.869232,8.074112,8.128621,7.89335,7.82701,8.889997,9.604572,8.202066,7.884251,7.998365,8.210497,7.887764,7.988553,7.855522,8.057025,7.843487,8.225176,7.684702,7.986818,8.299517,8.51537,8.063315,8.130966
SIGLEC8,4.659196,5.432436,5.389468,5.451106,5.542314,5.103721,5.022016,5.126679,5.406866,5.145539,5.357588,5.059068,5.259114,5.568971,5.403115,5.503699,5.689851,4.815588,5.144558,5.240732,5.045025,5.272648,5.474457,5.367709,4.993479,5.171303,5.400194,4.93864,5.23358,5.370536,5.200127,4.970072,4.969995,5.349811,5.052354,5.112451,5.507887,4.919085,5.498969,5.932489,5.115305,5.670492,4.935549,5.213598,5.452157,5.208294,5.217403,5.154669
KBTBD7,6.259903,5.8651455,5.7905865,5.8192385,5.7638045,5.9400245,5.9662745,5.6456615,5.8987145,6.2509245,5.702985,6.215543,5.629828,5.2335565,5.8885335,5.275092,5.8136075,5.389728,5.6258125,5.8482,5.8876045,5.932053,5.7920925,5.5213235,6.048901,6.054825,5.9841965,5.9578175,5.8470795,5.812078,6.458986,6.4296215,6.4233745,6.118767,5.9829095,6.2768075,5.8960015,5.623595,5.7686745,5.5836965,5.397536,5.9742485,5.881296,5.826922,5.699107,6.1873755,6.209306,6.226597
ALG10,4.868793,5.056554,4.769375,4.861354,5.052354,4.904726,4.825914,4.914157,4.714431,4.587546,4.828892,4.702562,4.669334,4.598676,4.489863,4.631074,4.815175,4.684164,4.652291,4.640289,4.729375,4.776603,5.189871,5.155207,4.555311,4.749917,4.868571,4.626794,4.684132,4.709998,5.076321,5.43721,4.653389,4.948202,4.758815,4.786912,4.837583,4.8163,4.551694,4.687194,4.663156,4.952021,4.72852,4.887129,4.777144,4.813772,4.72852,4.656955
