NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NON_MOTILE_CILIUM_ASSEMBLY	GOBP_NON_MOTILE_CILIUM_ASSEMBLY		62	-0.32152668	-1.0252601	0.3972973	0.73949134	1.0	3683	tags=26%, list=19%, signal=32%	
GOMF_TRANSLATION_INITIATION_FACTOR_BINDING	GOMF_TRANSLATION_INITIATION_FACTOR_BINDING		29	-0.36972132	-1.0251087	0.42637363	0.7393092	1.0	5425	tags=45%, list=28%, signal=62%	
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY		39	-0.34989613	-1.0247675	0.40714285	0.7397605	1.0	5922	tags=49%, list=30%, signal=70%	
GOBP_VESICLE_TARGETING_ROUGH_ER_TO_CIS_GOLGI	GOBP_VESICLE_TARGETING_ROUGH_ER_TO_CIS_GOLGI		26	-0.39418694	-1.0242409	0.414966	0.7407449	1.0	5398	tags=38%, list=28%, signal=53%	
GOBP_RESPONSE_TO_STEROL	GOBP_RESPONSE_TO_STEROL		31	-0.364652	-1.0230528	0.40697673	0.74385726	1.0	1959	tags=19%, list=10%, signal=21%	
GOCC_MICROTUBULE	GOCC_MICROTUBULE		426	-0.24676293	-1.0230527	0.32954547	0.7432033	1.0	3856	tags=26%, list=20%, signal=31%	
GOBP_RESPONSE_TO_STARVATION	GOBP_RESPONSE_TO_STARVATION		199	-0.26793787	-1.0227252	0.40377358	0.7436322	1.0	3582	tags=23%, list=18%, signal=28%	
GOMF_DEACETYLASE_ACTIVITY	GOMF_DEACETYLASE_ACTIVITY		37	-0.35725784	-1.0221533	0.41371158	0.74479836	1.0	4751	tags=30%, list=24%, signal=39%	
GOMF_5_3_EXONUCLEASE_ACTIVITY	GOMF_5_3_EXONUCLEASE_ACTIVITY		17	-0.41440725	-1.0219795	0.4055794	0.7446975	1.0	4991	tags=53%, list=26%, signal=71%	
GOBP_POSITIVE_REGULATION_OF_LYASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_LYASE_ACTIVITY		37	-0.3540663	-1.0218835	0.4164706	0.74435365	1.0	376	tags=8%, list=2%, signal=8%	
GOMF_COA_LIGASE_ACTIVITY	GOMF_COA_LIGASE_ACTIVITY		27	-0.37978044	-1.0217929	0.4217687	0.7439851	1.0	187	tags=7%, list=1%, signal=7%	
GOCC_AXON_INITIAL_SEGMENT	GOCC_AXON_INITIAL_SEGMENT		20	-0.3948046	-1.0217648	0.4159664	0.7434187	1.0	100	tags=10%, list=1%, signal=10%	
GOBP_PHOSPHATE_ION_TRANSPORT	GOBP_PHOSPHATE_ION_TRANSPORT		27	-0.37322363	-1.0214713	0.38789237	0.74370027	1.0	1923	tags=19%, list=10%, signal=21%	
GOBP_SYNAPTIC_VESICLE_MATURATION	GOBP_SYNAPTIC_VESICLE_MATURATION		25	-0.38755423	-1.0209984	0.41607565	0.7445235	1.0	5375	tags=52%, list=28%, signal=72%	
GOBP_ENDOSOME_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	GOBP_ENDOSOME_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT		16	-0.42475206	-1.0206364	0.4486607	0.7450129	1.0	607	tags=13%, list=3%, signal=13%	
GOBP_CELLULAR_RESPONSE_TO_STARVATION	GOBP_CELLULAR_RESPONSE_TO_STARVATION		161	-0.27433372	-1.0203193	0.3843648	0.74540925	1.0	3838	tags=26%, list=20%, signal=32%	
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT	GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT		150	-0.2807498	-1.0203147	0.39372823	0.74477476	1.0	1067	tags=13%, list=5%, signal=14%	
GOBP_NUCLEOTIDE_EXCISION_REPAIR	GOBP_NUCLEOTIDE_EXCISION_REPAIR		82	-0.3008498	-1.0201453	0.408	0.7446737	1.0	6071	tags=40%, list=31%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS		244	-0.2610071	-1.0198307	0.35820895	0.7450123	1.0	2950	tags=18%, list=15%, signal=21%	
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY	GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY		28	-0.37890017	-1.0196311	0.45495495	0.74503386	1.0	2492	tags=25%, list=13%, signal=29%	
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION	GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION		255	-0.26039356	-1.0195563	0.3677686	0.7446189	1.0	3110	tags=21%, list=16%, signal=25%	
