NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY		28	0.31617042	0.83582544	0.7184644	1.0	1.0	3381	tags=25%, list=17%, signal=30%	
KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY		15	0.35427526	0.83257914	0.6646943	1.0	1.0	3892	tags=40%, list=20%, signal=50%	
KEGG_MEDICUS_REFERENCE_TRANSCRIPTION_COUPLED_NER	KEGG_MEDICUS_REFERENCE_TRANSCRIPTION_COUPLED_NER		28	0.3075859	0.81499714	0.7676951	1.0	1.0	3207	tags=25%, list=17%, signal=30%	
KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY		15	0.34749627	0.79891294	0.7663366	1.0	1.0	3892	tags=33%, list=20%, signal=42%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY		23	0.3082412	0.7883988	0.78315413	1.0	1.0	3381	tags=22%, list=17%, signal=26%	
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_ERK_SIGNALING_PATHWAY		31	0.28427547	0.7708321	0.8031915	1.0	1.0	3064	tags=32%, list=16%, signal=38%	
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION	KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION		23	0.2863562	0.7485321	0.8384615	1.0	1.0	4359	tags=30%, list=22%, signal=39%	
KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION		26	0.28587505	0.74705535	0.83858997	1.0	1.0	2182	tags=19%, list=11%, signal=22%	
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY		26	0.28418	0.74586403	0.81621623	1.0	1.0	1816	tags=19%, list=9%, signal=21%	
KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC	KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC		17	0.30764014	0.7368907	0.8574074	1.0	1.0	5440	tags=47%, list=28%, signal=65%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_FGF17_TO_RAS_ERK_SIGNALING_PATHWAY		15	0.3098655	0.712844	0.8301527	1.0	1.0	3892	tags=33%, list=20%, signal=42%	
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY		17	0.29472357	0.7043805	0.8546169	1.0	1.0	4865	tags=35%, list=25%, signal=47%	
