NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PROTEIN_DEPHOSPHORYLATION	GOBP_PROTEIN_DEPHOSPHORYLATION		189	-0.26348174	-1.0281339	0.35964912	0.7252026	1.0	2894	tags=20%, list=15%, signal=23%	
GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS	GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS		23	-0.37754038	-1.0279498	0.40393013	0.7252188	1.0	5104	tags=52%, list=26%, signal=71%	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS		31	-0.36077714	-1.0278853	0.39529914	0.7248516	1.0	4273	tags=35%, list=22%, signal=45%	
GOMF_PEPTIDE_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY	GOMF_PEPTIDE_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY		46	-0.33499083	-1.0276461	0.41703057	0.72508055	1.0	5782	tags=39%, list=30%, signal=56%	
GOMF_HEAT_SHOCK_PROTEIN_BINDING	GOMF_HEAT_SHOCK_PROTEIN_BINDING		120	-0.27440512	-1.0276409	0.39247313	0.7245228	1.0	4629	tags=33%, list=24%, signal=42%	
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY		93	-0.2916007	-1.0273095	0.4009901	0.72501624	1.0	2795	tags=25%, list=14%, signal=29%	
GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION		36	-0.34677044	-1.0272969	0.39041096	0.7244797	1.0	1669	tags=28%, list=9%, signal=30%	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE		51	-0.31731385	-1.0272162	0.38995215	0.7241866	1.0	5988	tags=51%, list=31%, signal=74%	
GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION		17	-0.41029286	-1.0262339	0.4261954	0.7268069	1.0	1391	tags=29%, list=7%, signal=32%	
GOBP_MEMBRANE_FUSION	GOBP_MEMBRANE_FUSION		171	-0.2668386	-1.025595	0.3659218	0.72828954	1.0	4438	tags=32%, list=23%, signal=41%	
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY		338	-0.2463209	-1.0255334	0.34256056	0.72793764	1.0	4717	tags=28%, list=24%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS		35	-0.35176787	-1.0254633	0.3976744	0.72760445	1.0	4734	tags=46%, list=24%, signal=60%	
GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION		59	-0.30702144	-1.025123	0.3846154	0.7281956	1.0	2433	tags=15%, list=13%, signal=17%	
GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING		171	-0.26531968	-1.0249017	0.37068966	0.72835046	1.0	5185	tags=35%, list=27%, signal=47%	
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT	GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT		68	-0.30477226	-1.024831	0.3995327	0.7280314	1.0	2089	tags=16%, list=11%, signal=18%	
GOCC_BASAL_PART_OF_CELL	GOCC_BASAL_PART_OF_CELL		303	-0.2510558	-1.0248067	0.36619717	0.7275456	1.0	3348	tags=25%, list=17%, signal=29%	
GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION		21	-0.39039114	-1.0247451	0.42604858	0.7271797	1.0	3080	tags=33%, list=16%, signal=40%	
GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS		155	-0.2684534	-1.0242724	0.38108882	0.728178	1.0	2238	tags=18%, list=12%, signal=20%	
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS		27	-0.3640662	-1.0239338	0.40880504	0.72869426	1.0	3271	tags=30%, list=17%, signal=36%	
GOCC_OXIDOREDUCTASE_COMPLEX	GOCC_OXIDOREDUCTASE_COMPLEX		104	-0.29076168	-1.0238059	0.39772728	0.7285296	1.0	2942	tags=15%, list=15%, signal=18%	
GOBP_P_BODY_ASSEMBLY	GOBP_P_BODY_ASSEMBLY		20	-0.39544535	-1.023323	0.42152467	0.7294743	1.0	4232	tags=25%, list=22%, signal=32%	
GOCC_SNARE_COMPLEX	GOCC_SNARE_COMPLEX		50	-0.324685	-1.0232794	0.38779956	0.7290413	1.0	5387	tags=38%, list=28%, signal=52%	
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION		18	-0.4109636	-1.0231774	0.40376568	0.72881913	1.0	2526	tags=33%, list=13%, signal=38%	
GOBP_TRNA_5_END_PROCESSING	GOBP_TRNA_5_END_PROCESSING		15	-0.4279666	-1.0229778	0.45217392	0.7288917	1.0	3658	tags=33%, list=19%, signal=41%	
GOBP_ASTROCYTE_DEVELOPMENT	GOBP_ASTROCYTE_DEVELOPMENT		41	-0.339894	-1.0225307	0.42630386	0.729775	1.0	2217	tags=27%, list=11%, signal=30%	
GOMF_GALACTOSYLTRANSFERASE_ACTIVITY	GOMF_GALACTOSYLTRANSFERASE_ACTIVITY		32	-0.3563189	-1.0219368	0.41594827	0.7311222	1.0	3563	tags=22%, list=18%, signal=27%	
GOMF_CIS_TRANS_ISOMERASE_ACTIVITY	GOMF_CIS_TRANS_ISOMERASE_ACTIVITY		40	-0.34234533	-1.0218483	0.41149426	0.7308541	1.0	1872	tags=20%, list=10%, signal=22%	
GOBP_DOPAMINE_SECRETION	GOBP_DOPAMINE_SECRETION		29	-0.35493705	-1.0217289	0.38530067	0.73066336	1.0	2817	tags=24%, list=15%, signal=28%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT		243	-0.25290522	-1.0208207	0.38658148	0.7330854	1.0	3190	tags=22%, list=16%, signal=26%	
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY		26	-0.37223262	-1.0199858	0.4016563	0.7352794	1.0	1947	tags=23%, list=10%, signal=26%	
