symbol,GSM1480091,GSM1480092,GSM1480093,GSM1480094,GSM1480095,GSM1480096,GSM1480097,GSM1480098,GSM1480099,GSM1480100,GSM1480101,GSM1480102,GSM1480103,GSM1480104,GSM1480105,GSM1480106,GSM1480107,GSM1480108,GSM1480109,GSM1480110,GSM1480111,GSM1480112,GSM1480113,GSM1480114,GSM1480115,GSM1480116,GSM1480117,GSM1480118,GSM1480119,GSM1480120,GSM1480121,GSM1480122,GSM1480123,GSM1480124,GSM1480125,GSM1480126,GSM1480127,GSM1480157,GSM1480158,GSM1480159,GSM1480160,GSM1480161,GSM1480128,GSM1480129,GSM1480130,GSM1480131,GSM1480132,GSM1480133,GSM1480134,GSM1480135,GSM1480136,GSM1480137,GSM1480138,GSM1480139,GSM1480140,GSM1480141,GSM1480142,GSM1480143,GSM1480144,GSM1480145,GSM1480146,GSM1480147,GSM1480148,GSM1480149,GSM1480150,GSM1480151,GSM1480152,GSM1480153,GSM1480154,GSM1480155,GSM1480156,GSM1480162,GSM1480163,GSM1480164,GSM1480165,GSM1480166,GSM1480167
LPP,10.3849365,11.5950395,10.004258,9.849502,10.2807885,10.175186,10.4016285,10.857059,10.233904,10.70879,10.549572,10.3701385,11.3312275,10.9222185,11.261093,9.168052,10.894941,9.1461145,9.6154615,9.924556,10.523662,9.461041,10.438889,10.9760015,10.1931505,10.4869565,10.6304875,10.054949,10.489089,9.748642,10.212263,10.38546,10.352268,10.1716125,9.8511405,10.3252755,10.06559,10.437699,10.5527845,10.305513,10.524919,11.473386,11.3303345,11.4772215,9.875038,9.1885325,9.448751,10.2091605,9.964435,10.3721475,10.074143,10.3522765,10.429745,10.4773735,10.4430275,11.502786,10.9262935,10.771058,11.21134,9.267115,10.685759,10.24634,10.0142345,10.5392015,10.5432855,10.645549,10.5363835,10.349465,10.2347185,10.2784125,10.166946,10.569259,12.565044,10.591968,10.7129695,10.335878,9.6546845
CCNE2,4.534347,4.524911,4.521047,4.535294,4.52853,4.587652,4.383902,4.553558,4.465303,4.588442,4.448567,4.420016,4.475319,4.523839,4.429435,4.526897,4.494177,4.450635,4.46254,4.505488,4.470292,4.470323,4.429435,4.533601,4.439934,4.491399,4.536744,4.574158,4.410165,4.459513,4.400262,4.450051,4.380837,4.458828,4.534513,4.42625,4.447345,4.448707,4.456194,4.506718,4.474902,4.489034,4.49755,4.488176,4.420067,4.510583,4.6051,4.49547,4.527237,4.454997,4.481297,4.4196,4.485613,4.430079,4.420546,4.622657,4.472653,4.419792,4.495354,4.462515,4.494649,4.492823,4.530542,4.526433,4.393278,4.576059,4.466512,4.447219,4.495375,4.458187,4.488436,4.63504,4.488636,4.425411,4.64962,4.503178,4.49295
HNRNPAB,9.933731,9.420171333,9.699301333,9.712331667,9.91091,9.612743667,9.981132667,10.05600367,10.06034767,9.437400667,10.12857067,9.696212667,9.913136,9.993402333,9.663546,9.077054,9.449383667,7.981562,9.801333333,9.813794,9.541482667,9.166147667,9.774399667,9.767868333,9.540911333,9.602522667,9.321581667,9.459521667,9.639386667,9.740313,9.451697333,9.641029333,9.410122333,9.421832333,9.499393,9.427481667,9.156841333,9.487146333,9.44307,9.065423667,9.566737,9.629106333,9.673512333,9.070721667,8.604909,9.641308333,8.327283,9.604452333,9.624083,10.18824967,8.935115333,9.474156,9.653061333,9.822484,9.482990333,9.637541333,9.648644333,9.875643667,9.898322,9.052771667,10.04360667,9.725925,9.719213,9.582323,9.956730667,9.185330333,9.975623,9.649134,9.407025667,9.397943667,9.325009667,9.384009333,9.630290333,9.706715667,9.946622333,9.967754,9.618958667
BORCS5,4.465546,4.690373,5.11771,4.992607,5.201657,5.186248,5.178942,5.08051,5.056009,4.703821,4.823292,4.904454,4.908587,4.596205,4.854574,4.798325,5.130156,4.60621,4.984611,4.780714,4.997913,4.855028,5.294522,4.619923,4.604078,4.717338,5.0581,5.043228,5.172888,4.974325,4.839375,4.699288,5.335938,5.309822,4.810975,4.694613,4.813609,5.033155,4.68089,4.60286,4.56192,4.772045,4.588371,4.628868,4.571245,4.967324,4.68243,4.888556,4.873998,4.884496,4.554702,4.77106,5.31579,4.936368,5.073855,4.888776,5.031247,4.797598,5.076536,4.522104,4.882353,5.025807,5.278981,4.958002,4.764826,5.110358,5.321592,4.657674,5.273808,4.725282,4.659668,4.598547,5.271529,4.655845,4.978619,4.886214,5.166105
SNIP1,7.805923,7.588781,7.698293,7.260451,7.754496,7.712575,7.569617,7.394389,7.619413,7.584141,7.638655,7.684442,7.452151,7.8882,7.5012,7.587145,7.312587,7.766515,7.169601,7.335058,7.319653,7.169601,7.885057,7.693304,7.068694,7.303969,7.361703,7.623666,7.927646,7.642969,7.408226,7.408066,7.235684,7.227637,7.096764,7.804624,7.217319,7.694716,7.604005,7.379185,7.570105,7.693304,7.5139,7.092261,7.256922,7.740866,7.775085,7.506083,7.712128,7.504902,6.871399,7.431298,7.740866,7.349485,7.391351,7.041469,7.398259,7.377772,7.482636,7.556017,7.250698,7.209618,7.356019,7.411405,7.53396,7.283791,7.728697,7.765103,7.533444,7.407895,7.645601,7.479012,7.212135,7.552662,7.870596,7.430972,7.595743
COL17A1,5.871201,9.6759495,6.666991,6.4365635,7.9180735,10.9558845,5.8424265,8.80117,5.9801635,6.379689,7.3429365,6.5571825,6.9589,6.7285785,6.6439795,6.5935485,6.705609,8.084405,7.4946545,6.0888245,5.6689535,5.9932435,6.272194,9.026598,9.502096,8.4952985,7.37795,6.6801115,7.843813,6.3358185,5.958719,7.042122,8.546874,8.158438,8.970925,7.7524475,7.1158805,6.3290185,9.3569945,6.2848245,6.1753575,5.8533625,10.6224265,8.8787875,11.1275565,8.802141,6.343596,6.2725005,5.767507,7.812005,6.910894,9.0690765,11.357525,6.0119535,8.6137545,6.7442635,8.550436,10.7653925,5.6383545,6.3184535,6.484698,10.346773,6.0829005,10.732796,6.4150425,6.625007,6.982023,7.4145115,10.159145,6.9714725,6.7361895,7.340136,8.2648455,5.88748,6.1902025,7.9434145,9.0054575
BCL6B,6.456086,6.154641,5.647453,5.871726,6.870223,6.351324,6.91267,6.691134,6.495325,7.269241,6.63864,6.92524,7.578658,6.035859,6.679308,6.692275,7.799924,4.703967,6.35247,6.503042,7.071274,5.94239,5.593782,6.580522,6.518699,6.586681,6.89185,6.402844,6.074078,5.953075,6.385813,6.875433,7.135215,5.750936,6.148959,6.447001,6.869847,6.226892,6.040261,6.431925,6.511057,7.348865,4.823053,6.771512,5.344159,6.596939,4.821335,6.229506,6.45326,6.549197,5.127759,6.743575,6.341168,6.523356,5.768647,5.928404,6.646165,6.535461,6.989496,5.464176,6.977356,6.4177,6.553527,6.722327,6.692275,6.122329,7.136454,5.999685,5.950534,6.407568,6.545535,6.162703,7.078035,6.660625,6.429141,6.244906,6.022826
GRHL1,4.677208667,5.290848333,4.719278333,4.822462,4.833553333,5.193938333,4.655215,4.939449667,5.006893333,4.696850667,4.779208,4.865085333,4.713900333,4.838176333,4.795523333,4.653479333,4.715803333,4.755158333,5.178716667,4.764837667,4.658746,4.973336333,4.681223333,4.824784,5.253986667,5.336581333,4.778016667,4.622209,5.002428667,4.675644,4.895100667,4.833023333,5.935228667,4.886787667,4.879679333,4.668447,4.735504667,4.828507333,4.749787667,4.806841667,4.673366,4.804645333,5.150096667,4.821241667,4.724980667,5.962467333,4.836271333,4.936825667,4.662773667,4.655279,5.06417,4.926871333,5.924667,4.764372333,5.249874333,4.868424333,4.977499333,5.096130667,4.775463667,5.104800333,4.746101333,5.576354667,4.829966,4.859844667,4.926374667,5.116437333,5.003718333,4.577657667,5.494906333,4.649333667,4.746910667,4.787159667,5.183478,4.821042333,4.704721333,4.878526333,5.530643333
ATP13A4,5.005357,4.941653,4.583297,4.927749,5.06548,5.133656,4.681254,4.969617,4.92258,4.568558,4.959856,5.000855,5.358893,4.829512,5.18806,4.967045,4.829428,4.851831,4.718023,4.871122,4.590551,5.063714,5.544974,5.042736,4.666143,4.764266,4.868811,4.937247,4.839223,4.872666,5.088018,4.752645,5.026944,5.644967,4.771261,5.059151,5.197286,5.030813,5.35428,4.535051,4.546321,5.01085,4.738857,4.808543,4.753469,4.81548,4.91864,4.735321,5.109979,5.056223,5.100298,4.96638,4.800026,4.711675,4.791927,4.735074,4.830184,4.754908,4.847064,5.764987,5.23278,5.200135,4.737437,4.971005,4.895232,4.789228,4.855505,4.763338,4.904692,5.068709,5.051828,4.810049,4.592525,5.315122,4.699089,4.684507,4.895905
DIAPH2,5.8056975,5.8965595,5.160348,5.5106405,5.3748585,5.626725,5.411081,5.7752705,5.4591125,5.7962595,5.2687375,5.5009555,5.4736075,5.5533595,5.8866505,5.543827,5.820013,5.1155685,5.4177505,5.3935375,5.683514,5.642958,5.898132,5.868649,5.75889,6.1164785,5.692851,5.7484965,5.6747265,5.759192,5.6856915,5.7599485,6.3129145,5.618947,5.6220135,5.76811,5.409062,5.6086015,5.7041275,5.474505,5.7421335,5.6034095,5.929054,5.7351005,5.9047375,6.4440795,5.055444,5.5859245,5.4220005,5.2537385,5.2291555,5.940869,6.3105475,5.458661,5.766945,5.5986955,5.6774825,5.735938,5.0551675,5.867689,5.8418105,6.0605125,5.543684,5.7415355,5.4634035,5.7643475,5.4067345,5.658392,6.0950045,5.589784,5.425781,5.856608,5.918519,5.640676,5.4435775,5.6391005,5.4864325
HMG20B,9.08275,9.64672,10.002005,9.804401,9.833746,9.579693,9.755561,9.890183,9.497382,9.593757,9.641986,9.604769,9.378902,10.042894,9.602294,9.711767,9.773095,9.300587,9.770584,9.381658,9.563518,9.780912,9.292381,9.330855,9.345609,9.670817,9.538763,9.652873,9.787555,9.362513,9.301335,9.711128,9.8775,9.867042,9.349403,9.062028,9.80968,9.738428,9.538763,9.590735,9.023567,9.522303,9.47724,9.895516,9.909982,10.61636,9.092074,9.535285,9.195182,9.610938,9.990447,9.2243,9.993826,9.580341,9.457388,9.096242,9.553866,9.531576,9.21813,9.449424,9.177762,9.422808,9.328293,9.665326,9.313633,10.157917,9.728437,9.303419,9.686098,9.737045,9.429072,9.459455,9.501728,9.416635,9.311146,9.228806,9.778346
CD69,5.2619095,5.485369,5.3812665,6.414922,5.795578,6.1982625,6.2435925,6.048489,5.780688,6.444388,6.066067,5.964055,6.2906095,5.6249765,5.664397,7.1935435,6.557275,6.38099,6.3019375,6.5107615,5.6292785,7.232103,5.6586855,5.352015,6.079968,5.715668,6.78161,6.9088445,6.0951285,7.2409105,6.1501095,6.229982,5.1058465,6.242544,5.8007425,6.229827,6.662606,6.4541275,6.1551815,6.789489,5.4995775,5.469522,5.1337445,5.5333195,5.6960555,4.8724205,5.9735505,4.764685,5.5269535,6.475044,5.4128875,6.3710925,4.773821,5.3953145,5.948038,7.24608,6.0223205,6.1377485,5.9752545,7.077407,5.871433,5.3801055,6.162151,6.24305,6.530925,7.036679,5.765163,5.5756355,5.988381,6.4969965,5.7258765,6.2773215,5.416397,6.1962885,5.5211405,6.599282,5.128804
MLYCD,5.557093,5.724716,5.070063,5.674592,5.648382,5.512794,5.926971,5.262616,5.251136,5.164346,5.998234,5.698869,6.106032,5.320114,5.737355,4.894031,5.589132,4.752382,5.644985,5.30096,5.803549,5.032102,5.136046,5.15485,5.211186,5.792259,6.162473,5.411216,5.826721,5.475426,5.168716,6.00469,5.185477,6.120723,5.392832,5.654965,4.766326,5.368138,5.662583,5.30543,5.31739,6.198078,5.33063,5.314862,4.870949,4.795563,4.624712,5.136402,5.796045,6.04315,5.20408,5.65938,5.805589,5.362684,5.351696,5.715453,5.738308,6.175475,5.190806,5.478983,5.866675,5.364166,5.961387,5.777854,6.292022,5.188833,6.065268,6.147019,5.631075,5.297483,5.318646,5.593818,5.858104,5.71005,5.704795,6.320335,5.119153
UHRF1BP1L,5.740092333,5.587141333,5.694266,5.435267,5.320762,6.042888,5.653749667,5.818582,5.792162,5.670256,5.511866333,5.349552,5.578117667,5.869123333,6.006272667,5.961118667,5.466339667,6.255234667,5.443419,5.686961667,5.849354333,5.646852667,5.631946333,5.783223,5.597592,5.539464667,5.390307667,5.41718,5.380796667,5.544767333,5.488444,5.842542,5.38938,5.334644,5.612104,5.513660667,5.439903333,5.629759667,5.625972667,5.679626667,5.515015,5.491969,5.548124333,5.964983667,6.063657667,6.156799,6.021195,5.807355,5.638612,5.485938667,5.666896667,5.732590667,5.800073667,5.554374,5.619507333,5.331841667,5.674485333,5.431215,5.887158,5.577518333,5.493889667,5.561819,5.586795,5.606123333,5.693679333,5.810734333,5.619062,5.618341,5.780068667,5.598855333,5.533911667,5.770113667,5.605265,5.837024667,5.466783,5.834600667,5.784663
