"","probes","moduleColor"
"2","GAPDH","black"
"6","IPO13","black"
"24","NOC2LP2","black"
"42","ZFPM1","black"
"56","SKIV2L2","black"
"57","NUMBL","black"
"59","HDAC8","black"
"73","MED14","black"
"85","CAT","black"
"101","MSH5","black"
"118","EVC","black"
"134","CCDC167","black"
"149","HMGN1","black"
"185","IPO7","black"
"254","UBOX5","black"
"257","EZH2","black"
"281","HSD3B7","black"
"291","PER1","black"
"301","AAMP","black"
"308","ZWINT","black"
"310","PITPNM1","black"
"325","DUS1L","black"
"337","SPINK9","black"
"373","TIMM9","black"
"375","UAP1L1","black"
"405","ATRIP","black"
"407","USP2","black"
"416","ZER1","black"
"438","SIRT6","black"
"441","ADCY9","black"
"443","PTPN23","black"
"463","TXN2","black"
"472","TMEM120A","black"
"485","RASA3","black"
"497","ZNF197","black"
"513","FAM134A","black"
"518","BROX","black"
"522","SCAMP2","black"
"523","KIF7","black"
"547","ZNF502","black"
"563","C2orf66","black"
"568","C15orf61","black"
"573","RNF181","black"
"607","CTIF","black"
"631","OR2M7","black"
"648","ANP32C","black"
"668","CDK5RAP2","black"
"685","ZBTB7A","black"
"692","MAPKAPK2","black"
"699","SLC41A1","black"
"719","IDO1","black"
"761","ARHGEF11","black"
"790","RPS6","black"
"800","VPS13D","black"
"804","LIN37","black"
"815","ABLIM3","black"
"816","PRICKLE3","black"
"861","CCDC85B","black"
"923","CNNM1","black"
"929","STMN1","black"
"930","FIBP","black"
"959","MAP2K2","black"
"992","NACC1","black"
"993","FAM72D","black"
"1000","LSS","black"
"1012","FIS1","black"
"1022","CHD4","black"
"1044","IQSEC2","black"
"1049","PTPRN","black"
"1063","ATP9B","black"
"1080","KRTCAP2","black"
"1091","SP140L","black"
"1092","SPTBN4","black"
"1103","GNB2","black"
"1126","ZCRB1","black"
"1137","ANKRD16","black"
"1159","BOLA2","black"
"1179","USP39","black"
"1202","EXOSC5","black"
"1213","STK19","black"
"1250","RSPH9","black"
"1267","SFMBT2","black"
"1327","CAMK2N2","black"
"1332","MUC12","black"
"1336","SYN1","black"
"1394","WBP11","black"
"1415","SHMT2","black"
"1435","RFNG","black"
"1482","TFDP1","black"
"1523","ISY1","black"
"1591","USPL1","black"
"1592","PKN1","black"
"1644","SREBF1","black"
"1649","SON","black"
"1653","TTLL12","black"
"1662","ZNF174","black"
"1663","ZNF337","black"
"1668","MCM7","black"
"1670","MRPL22","black"
"1676","TPGS1","black"
"1694","LIN7B","black"
"1714","S100PBP","black"
"1744","SMYD5","black"
"1770","RAB1B","black"
"1827","USP11","black"
"1829","DYRK1A","black"
"1862","GRHPR","black"
"1902","CD36","black"
"1919","OGFOD3","black"
"1991","ANGEL1","black"
"2052","TRIM56","black"
"2086","SNORD30","black"
"2093","VPS52","black"
"2157","FBXO9","black"
"2165","DFFA","black"
"2177","PCBP4","black"
"2180","RANBP10","black"
"2181","PLPPR2","black"
"2196","HYAL3","black"
"2215","TPP2","black"
"2236","RITA1","black"
"2248","AMD1","black"
"2306","PIP5K1C","black"
"2348","ACOX1","black"
"2390","ABCF2","black"
"2393","SNORD16","black"
"2399","ZNF16","black"
"2402","YWHAZ","black"
"2432","NME3","black"
"2443","PAF1","black"
"2453","KMT5B","black"
"2458","GLRB","black"
"2459","ACP1","black"
"2462","PKD1","black"
"2473","GTF2IRD1","black"
"2474","PSENEN","black"
"2476","WAC","black"
"2481","LRP1","black"
"2544","EXOSC6","black"
"2547","KLF3","black"
"2572","PRAMEF7","black"
"2576","RBM42","black"
"2594","ATOX1","black"
"2647","CYB5D1","black"
"2649","TSR2","black"
"2664","GSG1L","black"
"2716","POTEA","black"
"2731","MED30","black"
"2733","PCMT1","black"
"2755","MLF2","black"
"2763","TRMT2A","black"
"2806","CUL7","black"
"2809","FBXO3","black"
"2828","TFIP11","black"
"2853","C1orf159","black"
"2878","AP2A1","black"
"2880","ZNF32","black"
"2885","NRXN1","black"
"2889","CPSF2","black"
"2916","GNG12","black"
"2957","HSP90AB1","black"
"2962","PRR34","black"
"2970","PPOX","black"
"2978","TRMT5","black"
"2991","POLR3F","black"
"3095","SF3B1","black"
"3101","FAM124A","black"
"3132","DDX17","black"
"3143","DGKZ","black"
"3146","NDUFA7","black"
"3148","NAGPA","black"
"3170","ZFP36L1","black"
"3282","ATP5G1","black"
"3286","CCNC","black"
"3338","ADCY3","black"
"3340","YEATS2","black"
"3343","AP3M2","black"
"3361","IFT46","black"
"3364","YPEL2","black"
"3368","MITD1","black"
"3375","PTCD2","black"
"3402","REXO4","black"
"3430","COMP","black"
"3440","TMPO","black"
"3458","UBE2L3","black"
"3472","NR1H2","black"
"3475","C19orf24","black"
"3493","RBMX2","black"
"3503","PEX16","black"
"3524","ACSL5","black"
"3542","RRM2","black"
"3544","SLC37A4","black"
"3546","USP1","black"
"3550","ENDOV","black"
"3558","BCYRN1","black"
"3564","POMT2","black"
"3568","UBL5","black"
"3596","SCAF11","black"
"3599","ZNF581","black"
"3649","AGPAT1","black"
"3691","NAF1","black"
"3713","SLCO1A2","black"
"3719","POP7","black"
"3725","AHDC1","black"
"3777","EEF1G","black"
"3809","B4GALT2","black"
"3822","LEMD2","black"
"3884","FOXL2","black"
"3910","GGA1","black"
"3919","COA6","black"
"3928","HIF1AN","black"
"3932","PAPD4","black"
"3985","MIER1","black"
"4001","CLOCK","black"
"4034","IDH3G","black"
"4041","BYSL","black"
"4051","PAXBP1","black"
"4057","ARF3","black"
"4061","SMG6","black"
"4077","RPUSD1","black"
"4085","CCNL1","black"
"4124","GSS","black"
"4135","ACSL4","black"
"4138","UBA1","black"
"4144","ING3","black"
"4186","PLEKHM2","black"
"4214","CIB1","black"
"4248","SPAG7","black"
"4254","PYROXD2","black"
"4274","ZDHHC13","black"
"4320","RPL36","black"
"4325","TACO1","black"
"4346","PLEC","black"
"4396","EEF1B2","black"
"4397","PCNA","black"
"4423","UBN2","black"
"4465","ZNF124","black"
"4485","CELF1","black"
"4492","TIMM13","black"
"4505","DICER1","black"
"4511","TMEM80","black"
"4535","TEDDM1","black"
"4540","IFT140","black"
"4565","NCDN","black"
"4598","ZNF567","black"
"4607","ZDHHC24","black"
"4608","ABCA2","black"
"4633","POP5","black"
"4635","UNC5C","black"
"4659","TMEM53","black"
"4667","LOC407835","black"
"4682","LOC642852","black"
"4687","ZNF160","black"
"4695","ALYREF","black"
"4712","ARL5A","black"
"4738","C17orf47","black"
"4752","ZBTB9","black"
"4766","DTX1","black"
"4773","RBM47","black"
"4814","SF3B5","black"
"4848","ASMTL","black"
"4849","MRTO4","black"
"4864","DPH7","black"
"4866","RIC1","black"
"4870","CDC42BPB","black"
"4878","PPM1A","black"
"4879","STK11IP","black"
"4901","ALKBH2","black"
"4936","VAMP7","black"
"4949","CDK2AP2","black"
"4952","B3GALT4","black"
"4974","PLPP7","black"
"4977","ZNF470","black"
"4986","MAST2","black"
"5002","MPV17","black"
"5029","RNF185","black"
"5054","LONP2","black"
"5071","SNX2","black"
"5081","ZNF775","black"
"5100","RNPS1","black"
"5110","C6orf1","black"
"5113","HSD17B10","black"
"5187","UNC5B","black"
"5201","KLHL21","black"
"5214","JMJD4","black"
"5226","ZFPL1","black"
"5259","METTL16","black"
"5286","SEC11A","black"
"5300","VPS9D1","black"
"5303","WAPL","black"
"5343","PDCL","black"
"5354","PRIM2","black"
"5356","PNKP","black"
"5361","PUS3","black"
"5363","TRIM68","black"
"5364","SCAF1","black"
"5382","YWHAB","black"
"5393","GTPBP2","black"
"5400","PRIM1","black"
"5401","RNF220","black"
"5407","CLTCL1","black"
"5411","FAR2","black"
"5420","RNPEPL1","black"
"5444","PTPN9","black"
"5445","TBPL2","black"
"5468","BCAT2","black"
"5487","PYGO2","black"
"5506","PTPRA","black"
"5539","ACTR1B","black"
"5567","KPNA6","black"
"5571","SIVA1","black"
"5580","PHB2","black"
"5615","SPDYA","black"
"5620","IDH1","black"
"5640","RB1","black"
"5648","CES2","black"
"5669","AMPD2","black"
"5678","DYRK1B","black"
"5683","ARMC5","black"
"5703","WBSCR22","black"
"5753","ZNF517","black"
"5761","HINT2","black"
"5774","NSMCE1","black"
"5782","LGMN","black"
"5783","DLC1","black"
"5790","LRRC29","black"
"5800","AGPS","black"
"5824","NCOR2","black"
"5830","SNAPC2","black"
"5857","QKI","black"
"5922","TPD52L2","black"
"5926","AP2M1","black"
"5951","TRAP1","black"
"6013","RNF41","black"
"6014","COQ8B","black"
"6046","VAT1","black"
"6069","ATG4C","black"
"6074","ENSA","black"
"6128","POFUT2","black"
"6130","TAOK2","black"
"6136","MAP1A","black"
"6167","PPP1CC","black"
"6179","MIGA2","black"
"6230","ZNF706","black"
"6254","WDR73","black"
"6299","NOC4L","black"
"6302","WRNIP1","black"
"6321","ETV3","black"
"6329","AGFG2","black"
"6339","PDSS1","black"
"6350","LATS2","black"
"6376","COG4","black"
"6404","KPNB1","black"
"6407","TIGD6","black"
"6408","ARFRP1","black"
"6420","CMAHP","black"
"6421","DGAT1","black"
"6447","WDR25","black"
"6479","NABP2","black"
"6500","TRIM5","black"
"6534","CAPN1","black"
"6550","MRPL41","black"
"6560","NAT10","black"
"6567","SAFB2","black"
"6568","P3H3","black"
"6573","RPRD2","black"
"6592","SPR","black"
"6621","N4BP1","black"
"6623","HAGHL","black"
"6627","MOB2","black"
"6632","SAMD12","black"
"6634","ABHD6","black"
"6655","TEF","black"
"6674","HYI","black"
"6694","DEFB119","black"
"6699","RPL34","black"
"6720","F2RL3","black"
"6787","SLC6A13","black"
"6799","RNF126P1","black"
"6817","DAXX","black"
"6844","C11orf16","black"
"6851","EPS15L1","black"
"6872","OR5L2","black"
"6884","MFAP3","black"
"6899","TMEM161A","black"
"6908","VPS4A","black"
"6914","HSD11B1L","black"
"6924","SAMD11","black"
"6956","PDCD10","black"
"6971","PLEKHM1","black"
"7061","SKI","black"
"7070","SUOX","black"
"7080","ENO1","black"
"7133","GYS1","black"
"7144","TRAPPC9","black"
"7161","TOMM40L","black"
"7193","MED24","black"
"7206","MAP1LC3A","black"
"7236","HNRNPK","black"
"7254","GOLGA8A","black"
"7276","TIA1","black"
"7303","SLC10A3","black"
"7326","RPL27A","black"
"7346","NAPA","black"
"7363","RNF25","black"
"7364","VAMP2","black"
"7377","RPAP1","black"
"7379","S100A6","black"
"7414","MAF1","black"
"7438","SPSB1","black"
"7447","SETD1A","black"
"7471","CIB2","black"
"7473","MRPS12","black"
"7514","ITPKC","black"
"7541","PICALM","black"
"7562","HTR2A","black"
"7582","EIF3B","black"
"7591","ITPK1","black"
"7592","NEIL2","black"
"7608","CYFIP1","black"
"7612","PMVK","black"
"7712","PPM1B","black"
"7716","TMEM214","black"
"7721","FBXO10","black"
"7740","DSCR3","black"
"7743","CLSTN1","black"
"7745","F13A1","black"
"7769","WHRN","black"
"7774","CNTNAP3","black"
"7817","CYHR1","black"
"7835","PABPC3","black"
"7893","NHP2","black"
"7910","TMEM57","black"
"7923","ETFA","black"
"7926","ADAM10","black"
"7957","CCDC9","black"
"8002","ZIK1","black"
"8004","MRPL38","black"
"8016","WDR83","black"
"8017","UCK1","black"
"8034","PLXNA3","black"
"8042","ZFAND3","black"
"8072","PPDPF","black"
"8078","CEND1","black"
"8088","POLR2I","black"
"8090","PRAF2","black"
"8155","CYTH2","black"
"8161","MRPS18B","black"
"8182","TMEM127","black"
"8185","VPS18","black"
"8195","TSC22D4","black"
"8206","GPN2","black"
"8213","MPP7","black"
"8217","ZNF660","black"
"8222","NAB2","black"
"8226","NAA10","black"
"8240","RWDD2A","black"
"8248","PAFAH1B1","black"
"8254","ZNF48","black"
"8258","DNPH1","black"
"8292","TMEM223","black"
"8317","VEGFB","black"
"8388","VAC14","black"
"8392","ROM1","black"
"8395","PALB2","black"
"8419","KAT5","black"
"8540","AGFG1","black"
"8571","CLPP","black"
"8572","ATG16L1","black"
"8594","KLK12","black"
"8596","RPP14","black"
"8603","TEX26","black"
"8609","EDF1","black"
"8621","CPAMD8","black"
"8644","MMP1","black"
"8654","GDPD2","black"
"8689","AKT1S1","black"
"8708","MEA1","black"
"8741","ZNF444","black"
"8759","TPRG1L","black"
"8770","GLI2","black"
"8780","ZNF155","black"
"8781","SSH1","black"
"8876","C3orf18","black"
"8914","PA2G4","black"
"8938","CRYAB","black"
"9029","KBTBD7","black"
"9040","CD2AP","black"
"9065","WDCP","black"
"9073","BSG","black"
"9098","ATG13","black"
"9100","SLC39A13","black"
"9125","RAB11B","black"
"9151","CHPF","black"
"9188","PDRG1","black"
"9191","TNFRSF13C","black"
"9194","ATP1A1","black"
"9204","APOM","black"
"9225","TMEM143","black"
"9238","EEFSEC","black"
"9241","OBSL1","black"
"9253","ZNF346","black"
"9260","SHB","black"
"9268","PPP1R32","black"
"9270","PSMD9","black"
"9271","PPME1","black"
"9275","SNX17","black"
"9278","FLJ26850","black"
"9302","GIT1","black"
"9324","CSF1","black"
"9337","ACTL10","black"
"9341","TFB1M","black"
"9394","GDI1","black"
"9409","IZUMO4","black"
"9421","ASIC3","black"
"9423","TSEN15","black"
"9424","ARID1A","black"
"9439","MEP1B","black"
"9444","ARHGDIA","black"
"9454","NUP88","black"
"9476","EIF5A2","black"
"9504","EXD3","black"
"9515","DPH1","black"
"9520","CDC42SE2","black"
"9524","TMEM30A","black"
"9540","TTC30A","black"
"9554","PRPF4B","black"
"9565","SNX33","black"
"9566","DLL3","black"
"9585","RFT1","black"
"9608","CASP2","black"
"9616","ORAI3","black"
"9619","PPP1R3C","black"
"9624","RASSF8","black"
"9636","CHST10","black"
"9649","ZBTB7B","black"
"9685","MAT2A","black"
"9692","DDX41","black"
"9700","RARG","black"
"9718","TMEM219","black"
"9727","RPL10L","black"
"9735","RMND5B","black"
"9738","PSMB4","black"
"9748","ELOVL4","black"
"9752","CRAT","black"
"9767","HOXA11","black"
"9769","SUMO2","black"
"9776","HS1BP3","black"
"9799","SPEF1","black"
"9814","VHL","black"
"9832","TRIM26","black"
"9849","HIC1","black"
"9899","CHAC1","black"
"9912","USP35","black"
"9956","RAI1","black"
"9959","EIF2S1","black"
"9962","EIF3D","black"
"10020","CEP164","black"
"10037","ZFP82","black"
"10087","FGF5","black"
"10092","LYRM4","black"
"10116","MAP3K8","black"
"10133","ZNF782","black"
"10149","PTPRH","black"
"10210","ZSWIM5","black"
"10222","GRWD1","black"
"10228","SSFA2","black"
"10289","ZNF584","black"
"10311","PRRC2C","black"
"10324","SH3RF3","black"
"10329","FAM109A","black"
"10353","NUDT22","black"
"10365","C6orf226","black"
"10367","ZNF446","black"
"10379","BCL9L","black"
"10380","DCP1B","black"
"10381","ALG12","black"
"10422","LYRM5","black"
"10428","FDX1L","black"
"10477","FAM102A","black"
"10505","KIAA1328","black"
"10533","MGRN1","black"
"10553","ENTPD5","black"
"10555","POLR2F","black"
"10571","MDM4","black"
"10591","POLD2","black"
"10592","DAZAP1","black"
"10596","SPRR2D","black"
"10601","GHDC","black"
"10611","IFT27","black"
"10621","FAM219A","black"
"10653","WBP1","black"
"10658","MYL5","black"
"10662","PHF1","black"
"10668","TRAPPC2L","black"
"10718","DEK","black"
"10745","CERS4","black"
"10765","TMEM240","black"
"10777","SLC5A9","black"
"10813","C19orf68","black"
"10816","FUZ","black"
"10841","CREB3L1","black"
"10873","ZNF322","black"
"10910","NECAB3","black"
"10934","SUPV3L1","black"
"10936","GABPA","black"
"10938","NOP14","black"
"10951","PRR3","black"
"10993","SRCAP","black"
"11003","GIGYF2","black"
"11041","TMEM243","black"
"11042","SENP3","black"
"11043","COL7A1","black"
"11045","IRF2BP1","black"
"11057","HNRNPD","black"
"11074","GADD45GIP1","black"
"11075","TMEM204","black"
"11077","RAD23A","black"
"11126","ERAP1","black"
"11136","PIEZO1","black"
"11143","RAB6B","black"
"11158","ATAT1","black"
"11165","KRTDAP","black"
"11229","SNTA1","black"
"11240","SCAMP5","black"
"11247","LRRC23","black"
"11252","SAMD4B","black"
"11255","FAM86C1","black"
"11259","SRR","black"
"11273","DOLK","black"
"11362","ARHGEF17","black"
"11368","TCP10L","black"
"11377","DHX15","black"
"11396","IDI1","black"
"11416","ZNF217","black"
"11418","AAAS","black"
"11456","ARMC9","black"
"11460","RIF1","black"
"11489","INTS3","black"
"11493","STUB1","black"
"11509","CKS2","black"
"11510","LAMTOR2","black"
"11511","NDUFS3","black"
"11529","TBC1D17","black"
"11562","ATE1","black"
"11582","GNG10","black"
"11584","NUMA1","black"
"11590","MPV17L2","black"
"11607","PRSS42","black"
"11645","C17orf51","black"
"11650","ZRANB1","black"
"11664","C11orf68","black"
"11667","HCFC1R1","black"
"11670","ZNF611","black"
"11673","PCGF1","black"
"11686","TAOK1","black"
"11715","ZNF213","black"
"11721","COPS7A","black"
"11732","NEK7","black"
"11747","SUPT6H","black"
"11792","DUSP10","black"
"11846","SPRN","black"
"11864","SERGEF","black"
"11907","MRPS5","black"
"11917","PRRC2A","black"
"11952","ZSCAN26","black"
"11964","UVRAG","black"
"11986","MPI","black"
"11991","ADCK5","black"
"12002","WDR24","black"
"12012","EIF4G2","black"
"12027","ZNF579","black"
"12029","ALKBH7","black"
"12033","RAMP3","black"
"12068","C17orf80","black"
"12103","BBS4","black"
"12133","EVC2","black"
"12174","MRPL2","black"
"12202","SLC25A42","black"
"12209","LZTS2","black"
"12231","RGS11","black"
"12250","PAM16","black"
"12260","TTL","black"
"12269","STXBP3","black"
"12276","RPRD1A","black"
"12298","COPS6","black"
"12306","LMBR1","black"
"12314","GPATCH8","black"
"12331","PSMB2","black"
"12336","TFE3","black"
"12350","NAT6","black"
"12375","CINP","black"
"12399","TOLLIP","black"
"12430","ENO2","black"
"12435","SLC9A3R2","black"
"12456","REL","black"
"12460","PLEKHF2","black"
"12462","LONP1","black"
"12465","MIER2","black"
"12503","ANKHD1-EIF4EBP3","black"
"12523","TK2","black"
"12525","MSL2","black"
"12529","RPAP3","black"
"12547","ANO10","black"
"12551","NDUFA13","black"
"12558","CCDC138","black"
"12564","SFXN5","black"
"12574","FBXL14","black"
"12602","ZNF416","black"
"12639","BIRC2","black"
"12650","BAP1","black"
"12701","CHAT","black"
"12724","PCSK4","black"
"12728","NCOA2","black"
"12749","KCTD7","black"
"12758","PRELID3A","black"
"12769","TMEM261","black"
"12775","PIGX","black"
"12808","SELO","black"
"12826","GPS1","black"
"12863","VPS39","black"
"12878","CLASP2","black"
"12901","CLUH","black"
"12904","RIC8A","black"
"12909","DDAH2","black"
"12920","NRSN2","black"
"12931","XAB2","black"
"12932","VAX1","black"
"12933","SNRPD2","black"
"12935","ZNF414","black"
"12965","UFSP1","black"
"12984","FOSL1","black"
"12997","STEAP4","black"
"13056","TMEM18","black"
"13094","CUEDC2","black"
"13116","DLST","black"
"13140","BEX4","black"
"13141","USP4","black"
"13159","FAM173A","black"
"13197","URM1","black"
"13205","DOK4","black"
"13220","DTD1","black"
"13250","LAS1L","black"
"13255","METTL26","black"
"13278","CBX8","black"
"13324","MRPS16","black"
"13372","RGMB","black"
"13385","CHORDC1","black"
"13397","MPPE1","black"
"13414","SAC3D1","black"
"13424","HMGN2","black"
"13456","FAM91A1","black"
"13499","PRKCSH","black"
"13519","C2CD2L","black"
"13536","FARSA","black"
"13547","NUDT2","black"
"13555","TTC12","black"
"13590","ADSS","black"
"13597","ZNF345","black"
"13604","PNRC2","black"
"13688","FMC1","black"
"13694","ARL6IP4","black"
"13708","MEIS3","black"
"13723","TBC1D24","black"
"13732","PUSL1","black"
"13744","ARL3","black"
"13774","RRAS","black"
"13810","SLC25A38","black"
"13811","CCDC22","black"
"13840","MESDC1","black"
"13842","TEX264","black"
"13843","SURF2","black"
"13864","RBM8A","black"
"13885","ZFP3","black"
"13889","PAIP2","black"
"13962","C5orf51","black"
"14008","MORC3","black"
"14039","SLC38A7","black"
"14040","NAT14","black"
"14043","FKTN","black"
"14056","GSTT2B","black"
"14094","SBF2","black"
"14099","NDUFA3","black"
"14127","DOHH","black"
"14138","CHCHD6","black"
"14168","SLC17A9","black"
"14183","AP5S1","black"
"14248","FOXD4","black"
"14262","ZNF385A","black"
"14270","KCTD13","black"
"14298","ZNF503","black"
"14346","PNPLA2","black"
"14375","SNX19","black"
"14413","TCF23","black"
"14433","MORN4","black"
"14454","IPP","black"
"14466","MLST8","black"
"14474","ZNF628","black"
"14485","GSTT2","black"
"14496","STIP1","black"
"14497","DHDDS","black"
"14524","GTF3C1","black"
"14541","THAP8","black"
"14544","PHF21B","black"
"14563","PIGZ","black"
"14567","ZNF574","black"
"14608","HUWE1","black"
"14619","HEATR6","black"
"14632","NXN","black"
"14664","SPAST","black"
"14697","CCDC103","black"
"14741","POMGNT2","black"
"14751","STX7","black"
"14761","HLCS","black"
"14765","CCDC86","black"
"14781","MNT","black"
"14796","RBM28","black"
"14797","ADAMTSL5","black"
"14823","RPTOR","black"
"14825","PRKAB1","black"
"14829","CIART","black"
"14834","ZFYVE27","black"
"14837","TMEM222","black"
"14861","BOLA1","black"
"14864","SERTAD1","black"
"14868","ANKRD13B","black"
"14874","ZNF79","black"
"14877","CATSPER2P1","black"
"14883","ABHD14A","black"
"14930","SHARPIN","black"
"14936","MRAP2","black"
"14975","DHX30","black"
"14991","SRSF1","black"
"15007","ERCC5","black"
"15042","FGFRL1","black"
"15047","AGAP3","black"
"15075","CRY2","black"
"15089","MAP1S","black"
"15143","NUDCD3","black"
"15152","INTS5","black"
"15161","MTHFSD","black"
"15188","ATP6V1D","black"
"15194","C3orf58","black"
"15209","CHCHD5","black"
"15234","PTPRVP","black"
"15271","IPO4","black"
"15278","KDM5C","black"
"15292","PPAN","black"
"15297","OR3A1","black"
"15305","KCTD17","black"
"15325","CAMTA2","black"
"15340","CEP250","black"
"15367","MRPL55","black"
"15404","XYLT2","black"
"15412","TAF1L","black"
"15424","ETNK2","black"
"15425","MAVS","black"
"15452","KLKB1","black"
"15459","BBS1","black"
"15464","SESN1","black"
"15465","NME4","black"
"15507","STOML1","black"
"15512","CLIP2","black"
"15516","DOCK6","black"
"15525","TAS2R14","black"
"15534","EMD","black"
"15546","FN3K","black"
"15617","HHLA3","black"
"15624","PIGA","black"
"15642","PSMG3","black"
"15647","EPHB6","black"
"15668","CBWD5","black"
"15716","KIAA2013","black"
"15737","POLD4","black"
"15790","SUFU","black"
"15800","KLHL25","black"
"15837","C22orf39","black"
"15858","OXLD1","black"
"15869","SYNRG","black"
"15874","MOSPD3","black"
"15888","YWHAE","black"
"15910","POU6F1","black"
"15914","FLYWCH2","black"
"15919","TOR1A","black"
"15950","MRPL23","black"
"15959","ADAT3","black"
"16001","ZNF18","black"
"16022","UBTF","black"
"16023","TSACC","black"
"16030","SHC4","black"
"16039","GOLGA1","black"
"16077","MICU1","black"
"16080","NPLOC4","black"
"16103","TNS1","black"
"16123","EXOC6B","black"
"16127","C11orf24","black"
"16145","FAM3A","black"
"16178","RNF40","black"
"16188","ALKBH6","black"
"16227","TMEM246","black"
"16247","COX8A","black"
"16282","RSAD1","black"
"16293","ABCF3","black"
"16299","ZNF524","black"
"16303","PLA2G4C","black"
"16323","PPP2R1A","black"
"16324","RAB34","black"
"16327","DRG2","black"
"16347","DCUN1D1","black"
"16367","ZNF629","black"
"16382","GPR151","black"
"16412","MRPL27","black"
"16432","SWI5","black"
"16448","FTSJ3","black"
"16457","CNP","black"
"16470","PRMT5","black"
"16478","ABCB1","black"
"16508","FAM222B","black"
"16542","FBXO28","black"
"16548","ZNF132","black"
"16613","PHF20","black"
"16617","SLC25A1","black"
"16630","NARFL","black"
"16632","DARS","black"
"16633","SPACA9","black"
"16639","HEXA","black"
"16640","NOL3","black"
"16687","CMTR2","black"
"16694","ZC3H12B","black"
"16706","UBAP2L","black"
"16708","CACFD1","black"
"16721","MRPS2","black"
"16723","PDGFRB","black"
"16735","PI4K2B","black"
"16738","GPS2","black"
"16747","RHBDD3","black"
"16768","HOXA6","black"
"16776","GTF2IP1","black"
"16788","CDIP1","black"
"16835","NRAV","black"
"16933","SLC14A2-AS1","black"
"16959","LINC01601","black"
"16960","LOC101928797","black"
"17006","LOC100133461","black"
"17119","FOXO3B","black"
"17129","LOC100130798","black"
"17310","LOC100130417","black"
"17329","LOC101927526","black"
"17545","LOC101927331","black"
"17684","SRRM2-AS1","black"
"17737","LINC00563","black"
"17768","RNU11","black"
"17796","LOC100996654","black"
"17910","LOC100129027","black"
"17986","ZNF691","black"
"17995","RPS15","black"
"17996","DPCD","black"
"18086","BET1L","black"
"18150","SNORD31","black"
"18153","TMEM203","black"
"18170","ZNF598","black"
"18187","DZIP1L","black"
"18202","C1orf123","black"
"18209","AP5Z1","black"
"18218","SNORA32","black"
"18225","NDUFV2","black"
"18258","TMEM109","black"
"18270","PRAMEF5","black"
"18285","NUDC","black"
"18294","LYRM9","black"
"18308","HNRNPH1","black"
"18334","SLC35A4","black"
"18348","EPB41L3","black"
"18443","PPP2R5B","black"
"18457","HNRNPA1P33","black"
"18466","G6PC3","black"
"18516","NR2C2AP","black"
"18532","CASD1","black"
"18573","FAHD2B","black"
"18579","BRD7P3","black"
"18623","IMP4","black"
"18626","BLOC1S1","black"
"18627","GBF1","black"
"18684","FAM151A","black"
"18694","JOSD2","black"
"18712","GPI","black"
"18715","FAAP24","black"
"18740","TBL3","black"
"18760","FAM216A","black"
"18792","NOLC1","black"
"18843","MPND","black"
"18870","EIF4EBP3","black"
"18882","ARRDC3","black"
"18900","SMG1P5","black"
"18913","UBLCP1","black"
"18925","FRYL","black"
"18974","B3GAT3","black"
"18985","WDR46","black"
"18987","TMEM39B","black"
"19001","CCDC127","black"
"19029","APOBEC3B","black"
"19034","HNRNPA1P10","black"
"19091","ABHD14B","black"
"19093","NTHL1","black"
"19172","RNF38","black"
"19201","FTO","black"
"19220","PCNX2","black"
"19239","ATP5J2","black"
"19280","CDC25B","black"
"19322","SDCBP","black"
"19328","OGT","black"
"19350","DPM3","black"
"19352","TAF6","black"
"19358","OPTN","black"
"19367","WDR31","black"
"19380","TMEM231","black"
"19386","SIGMAR1","black"
"19401","TRAF7","black"
"19403","RHBDD2","black"
"10","LPP","blue"
"11","UGP2","blue"
"15","SNIP1","blue"
"22","MLYCD","blue"
"23","UHRF1BP1L","blue"
"34","MFN2","blue"
"49","WNT2B","blue"
"50","HIST1H2BD","blue"
"51","GADD45G","blue"
"61","RGS5","blue"
"66","FBXO44","blue"
"68","MARK4","blue"
"69","SPRY1","blue"
"78","ADAM33","blue"
"84","EPS8","blue"
"97","MKL1","blue"
"106","GSTM4","blue"
"110","CCT3","blue"
"121","RASL11A","blue"
"123","KMT5A","blue"
"129","MGP","blue"
"142","KCNMB1","blue"
"150","LMBRD1","blue"
"155","DVL2","blue"
"161","NOL4L","blue"
"165","NACAD","blue"
"173","EVX2","blue"
"177","RNF215","blue"
"199","SLC26A4","blue"
"202","RIOK1","blue"
"206","MTMR9","blue"
"218","GRB10","blue"
"224","FAM131B","blue"
"230","ANK2","blue"
"232","RFXAP","blue"
"236","ZNF428","blue"
"238","CDC42EP2","blue"
"255","GBGT1","blue"
"267","ABCD2","blue"
"269","ZNF479","blue"
"279","COL4A1","blue"
"284","ATP6V0C","blue"
"294","CNEP1R1","blue"
"297","C2CD4C","blue"
"299","SNCG","blue"
"304","TPM4","blue"
"315","NUDT10","blue"
"317","LCE2A","blue"
"320","ZNF580","blue"
"339","DMD","blue"
"345","HES4","blue"
"346","KLC2","blue"
"347","CDY1B","blue"
"354","RBBP4","blue"
"355","SIKE1","blue"
"358","XYLT1","blue"
"360","ATP5D","blue"
"368","CUL3","blue"
"377","ITGBL1","blue"
"390","C6orf62","blue"
"403","CACNB2","blue"
"420","CX3CL1","blue"
"435","MPP2","blue"
"439","ZMAT3","blue"
"476","FAM172A","blue"
"477","MED6","blue"
"490","THRA","blue"
