NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV		17	-0.5457318	-1.3272842	0.15866388	0.44062144	1.0	6253	tags=41%, list=32%, signal=61%	
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY		24	-0.5091204	-1.3270414	0.12222222	0.4255654	1.0	1410	tags=21%, list=7%, signal=22%	
KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION	KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION		15	-0.5560243	-1.3268204	0.1368421	0.41142032	1.0	4160	tags=47%, list=21%, signal=59%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION		19	-0.5258967	-1.3191193	0.12284483	0.41515362	1.0	2000	tags=37%, list=10%, signal=41%	
KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION	KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION		17	-0.53286237	-1.3123301	0.13800424	0.4165075	1.0	5673	tags=47%, list=29%, signal=66%	
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY		23	-0.49874362	-1.3101652	0.1419214	0.40829563	1.0	1410	tags=22%, list=7%, signal=23%	
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1		16	-0.53194714	-1.27643	0.16367713	0.46963328	1.0	5249	tags=56%, list=27%, signal=77%	
KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC	KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC		17	-0.5126422	-1.2703291	0.17879418	0.47021466	1.0	4732	tags=47%, list=24%, signal=62%	
KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE		16	-0.52785736	-1.2591534	0.18735892	0.4833474	1.0	5308	tags=50%, list=27%, signal=69%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV		16	-0.5293607	-1.2583672	0.18995634	0.47185874	1.0	6253	tags=44%, list=32%, signal=64%	
